sentence,response,response_round,type,lexicalization,condition
Я или Вадим соберём этот нужный материал.,4.666666666666667,5.0,stimul,9.0,"1pl, or"
Ты и я сдаём коробки в макулатуру.,5.2,5.0,stimul,19.0,"you_I, 1pl"
Я или Лёва решу эту сложную задачу.,2.4444444444444446,2.0,stimul,11.0,"1sg, or"
Сейчас он и Вика готовят маленький сюрприз.,5.2,5.0,stimul,7.0,"conjunction, 3rd person pronoun"
Мои ряд клиентов торговали на бирже.,2.0,2.0,stimul,20.0,"plural premodifier, plural verb"
Город и деревня сближаются в отдаленном регионе.,4.4,4.0,stimul,10.0,"symmetric, plural verb, SV"
Я и ты пишешь заявление на увольнение.,2.0,2.0,stimul,15.0,"I_you, 2sg"
Максим и я сделает домашнее задание.,2.3,2.0,stimul,3.0,"3sg, and"
О нужных продуктах позаботятся они все.,4.571428571428571,5.0,stimul,30.0,"they, oni, 3pl"
Пятеро из них созвонятся с поставщиками продуктов.,5.0,5.0,stimul,10.0,"they, elect, 3pl"
Ты и я отдаём книги в библиотеку.,4.0,4.0,stimul,18.0,"you_I, 1pl"
На старой фотографии стираются лицо и фон.,5.0,5.0,stimul,2.0,"nonsymmetric, plural verb, VS"
Мы все победим на конкурсе чтецов.,5.833333333333333,6.0,stimul,37.0,"we, nom, 1pl"
"И я, и Денис пропустим финальный матч.",5.222222222222222,5.0,stimul,12.0,"1pl, and_and"
Я и ты покупают телевизор для бабушки.,2.357142857142857,2.0,stimul,1.0,"I_you, 3pl"
На юбилей пришел тысяча гостей.,1.375,1.0,,501.0,bad
С артистами спектакля познакомимся мы все.,4.375,4.0,stimul,33.0,"we, nom, 1pl"
Я и ты готовишь реквизит для спектакля.,1.7,2.0,stimul,3.0,"I_you, 2sg"
"Те ученики, кто опоздают на урок, напишут объяснительные.",3.7142857142857135,4.0,stimul,19.0,"with head noun, plural verb"
"Или я, или Митя составят этот длинный список.",3.5,4.0,stimul,29.0,"3pl, or_or"
Миша или Федя поймаем эту крупную рыбу.,2.7088607594936707,3.0,filler,33.0,bad
Диван в гараж отвозишь я и ты.,2.4285714285714284,2.0,stimul,17.0,"I_you, 2sg"
Дом и изгородь соприкасается в правом углу.,2.75,3.0,stimul,14.0,"symmetric, singular verb, SV"
"Или я, или Боря закончат эту шахматную партию.",2.5,2.0,stimul,27.0,"3pl, or_or"
"Каждую, кто пришла на выставку собак, сопровождает померанский шпиц.",3.2857142857142856,3.0,stimul,12.0,"no head noun, feminine head, feminine verb"
Митя или я составят этот длинный список.,4.3,4.0,stimul,29.0,"3pl, or"
Аванс за квартиру вносишь ты и я.,3.3157894736842106,3.0,stimul,25.0,"you_I, 2sg"
За новые проекты возьмутся семеро из них.,6.222222222222222,6.0,stimul,42.0,"they, elect, 3pl"
"Каждую школьницу, кто была на уроке труда, радует приготовленный суп.",4.428571428571429,4.0,stimul,22.0,"with head noun, feminine head, feminine verb"
Смирение и тщеславие обсуждаются в религиозных текстах.,6.142857142857143,6.0,stimul,15.0,"nonsymmetric, plural verb, SV"
"Те, кто последует за гидом, увидят памятник.",5.555555555555555,6.0,stimul,32.0,"no head noun, singular verb"
В столичные вузы поступят мы все.,2.375,2.0,stimul,17.0,"we, nom, 3pl"
Мой ряд объявлений висел на сайте.,2.875,3.0,stimul,4.0,"singular premodifier, singular verb"
Ты и я ищем ключи от квартиры.,4.727272727272728,5.0,stimul,12.0,"you_I, 1pl"
Труд и досуг недооценивается в ежедневном распорядке.,3.142857142857143,3.0,stimul,19.0,"nonsymmetric, singular verb, SV"
На старой фотографии стираются лицо и фон.,5.0,5.0,stimul,2.0,"nonsymmetric, plural verb, VS"
На студенческих конференциях выступит они четверо.,1.5555555555555556,2.0,stimul,21.0,"they, nom, 3sg"
"И Олег, и я уточнит необходимую информацию.",2.9,3.0,stimul,14.0,"3sg, and_and"
Теперь я с Юлей пишу детскую книжку.,5.714285714285714,6.0,stimul,11.0,"comitative, 1st person pronoun"
Теория и практика совмещаются в новом курсе.,6.285714285714286,6.0,stimul,7.0,"symmetric, plural verb, SV"
"Во вторник Тася постирала рукава и фиолетовой, и желтой водолазок.",5.125,5.0,stimul,20.0,"plural, and…and"
Я и Петя нарисует подробную схему.,1.9,2.0,stimul,1.0,"3sg, and"
Бумага и обложка рвутся в дешевом блокноте.,4.6,5.0,stimul,17.0,"nonsymmetric, plural verb, SV"
В байдарочные походы отправимся все из нас.,2.555555555555556,3.0,stimul,27.0,"we, elect, 1pl"
"Те, кто приплывет на корабле, пройдут проверку.",4.294117647058823,4.0,stimul,17.0,"no head noun, singular verb"
Мы двое переночуем в больших палатках.,4.4,4.0,stimul,19.0,"we, nom, 1pl"
Юра и я устроят детский праздник.,3.5,4.0,stimul,26.0,"3pl, and"
На проходной завода отметится трое из них.,3.4444444444444446,3.0,stimul,38.0,"they, elect, 3sg"
Для бальному платья королева выбирает бархат и шелк.,1.981818181818182,2.0,filler,501.0,bad
"В среду Сеня выучил и алгебраическую, и геометрическую теоремы.",5.916666666666667,6.0,stimul,5.0,"plural, and…and"
В новом курсе освещаются теория и практика.,5.444444444444445,5.0,stimul,7.0,"nonsymmetric, plural verb, VS"
В течение месяца женится мы пятеро.,2.142857142857143,2.0,stimul,16.0,"we, nom, 3sg"
Прошлое и настоящее встречается в этой точке.,5.285714285714286,5.0,stimul,9.0,"symmetric, singular verb, SV"
Они все искупаются в крещенской проруби.,6.75,7.0,stimul,4.0,"they, oni, 3pl"
Повар будет пользоваться ручным или планетарным миксерами.,4.4375,4.0,stimul,27.0,"plural, or"
Теория и практика освещается в новом курсе.,4.8,5.0,stimul,7.0,"nonsymmetric, singular verb, SV"
С очевидцами аварии побеседует они пятеро.,1.6666666666666667,2.0,stimul,34.0,"they, nom, 3sg"
Активисты посадили миллион деревьев в лесах.,6.395061728395062,6.0,filler,501.0,good
С кредитными долгами рассчитаются они все.,4.125,4.0,stimul,23.0,"they, oni, 3pl"
"Каждого, кто участвовал в конференции института, привлекает теоретическая физика.",4.375,4.0,stimul,3.0,"no head noun, masculine head, masculine verb"
В классическом искусстве умещаются порядок и хаос.,5.444444444444445,5.0,stimul,25.0,"nonsymmetric, plural verb, VS"
Завтра он с Лизой измеряет скорость чтения.,3.272727272727273,3.0,stimul,14.0,"comitative, 3rd person pronoun"
Ты и я намечаем переезд за границу.,4.857142857142857,5.0,stimul,26.0,"you_I, 1pl"
Мы все позаботимся о нужных продуктах.,5.875,6.0,stimul,30.0,"we, nom, 1pl"
"Каждая, кто уволился из отдела кадров, ругает жестокого начальника.",4.0,4.0,stimul,35.0,"no head noun, feminine head, masculine verb"
Они трое опубликуются в научных журналах.,4.875,5.0,stimul,2.0,"they, nom, 3pl"
На курсы вождения пойдём мы все.,5.0,5.0,stimul,46.0,"we, nom, 1pl"
За обедом Костя съел остатки капустного и яблочного пирога.,4.916666666666667,5.0,stimul,27.0,"singular, and"
Плотник починит обеденный и компьютерный стол.,4.625,5.0,stimul,13.0,"singular, and"
В крещенской проруби искупаются мы пятеро.,1.4,1.0,stimul,4.0,"we, nom, 3pl"
"Или я, или Гриша переведём эту английскую фразу.",4.5,4.0,stimul,25.0,"1pl, or_or"
Честность и прямолинейность различаются в человеческом общении.,5.857142857142857,6.0,stimul,3.0,"symmetric, plural verb, SV"
Государство управляло этими дюжиной заводов.,2.75,3.0,dyuzina,17.0,"ins, unanimated"
"Или я, или Яша закажу этот дорогой десерт.",3.1,3.0,stimul,24.0,"1sg, or_or"
В правом углу обваливается дом и изгородь.,3.2857142857142856,3.0,stimul,14.0,"nonsymmetric, singular verb, VS"
Со свадебными фотографами свяжемся мы двое.,3.375,3.0,stimul,25.0,"we, nom, 1pl"
Все из них приедут на утренних поездах.,3.8333333333333335,4.0,stimul,5.0,"they, elect, 3pl"
Биолог поймал кучу бабочек в поле.,6.243902439024391,6.0,filler,501.0,good
"Четыре ножа лежали в жестяной раковине, крепившейся к стене.",6.153846153846154,6.0,stimul,8.0,"plural verb, SV, non-feminine noun"
"Или Саша, или я отнесут это тяжёлое ведро.",3.6,4.0,stimul,32.0,"3pl, or_or"
"И Миша, и я сдадут вступительный экзамен.",2.6,3.0,stimul,8.0,"3pl, and_and"
Я или Костя расскажем эту интересную историю.,4.6,5.0,stimul,8.0,"1pl, or"
"Каждую журналистку, кто служил в редакции издания, удручает сложившаяся ситуация.",5.142857142857143,5.0,stimul,16.0,"with head noun, feminine head, masculine verb"
"Те, кто попадет в список, пройдут собеседование.",5.777777777777778,6.0,stimul,11.0,"no head noun, singular verb"
"Две вазы стояли на дубовом шкафу, примыкавшем к камину.",5.454545454545454,5.0,stimul,1.0,"plural verb, SV, feminine noun"
Никита или я внесут этот небольшой аванс.,3.7,4.0,stimul,14.0,"3pl, or"
Мы трое переедет в соседние страны.,2.0,2.0,stimul,32.0,"we, nom, 3sg"
Во время звонка Эля сломала кнопки старого и нового телефона.,4.4,4.0,stimul,9.0,"singular, and"
Константин опубликовал пять простых и сложные рецепты в кулинарном блоге.,2.75,3.0,stimul,2.0,"different-in-numeral, plural, numeral_no"
В июне Гоша украл шины рейсового и экскурсионного автобусов.,5.714285714285714,6.0,stimul,14.0,"plural, and"
В важные переговоры вмешаются мы все.,2.25,2.0,stimul,29.0,"we, nom, 3pl"
В учебных кабинетах подметём все из нас.,2.6666666666666665,3.0,stimul,41.0,"we, elect, 1pl"
Город и деревня сближаются в отдаленном регионе.,4.4,4.0,stimul,10.0,"symmetric, plural verb, SV"
Теперь Гера и Даша понимают линейную алгебру.,6.113924050632911,6.0,filler,28.0,good
Паша или я посетит этот научный семинар.,3.6,4.0,stimul,16.0,"3sg, or"
Секретарша или менеджер закажут новый кулер.,4.9105691056910565,5.0,filler,53.0,good
Знакомый обзаведётся гибридным и электрическим автомобилями.,5.833333333333333,6.0,stimul,18.0,"plural, and"
Максим продаст шкаф или кровать.,6.2125,6.0,filler,33.0,good
Мы шестеро приберётся в старых кладовках.,3.0,3.0,stimul,47.0,"we, nom, 3sg"
"И я, и Кирилл прополет капустную грядку.",2.4,2.0,stimul,24.0,"3sg, and_and"
Гриша сварит овсяную кашу.,6.512820512820513,7.0,filler,33.0,good
В байдарочные походы отправятся четверо из нас.,5.444444444444445,5.0,stimul,27.0,"we, elect, 3pl"
Пятеро из нас женятся в течение месяца.,4.333333333333333,4.0,stimul,16.0,"we, elect, 3pl"
Новаторство и традиция смыкается в усадебном стиле.,3.6666666666666665,4.0,stimul,18.0,"symmetric, singular verb, SV"
"Те, кто пострадает из-за кризиса, получат компенсацию.",5.777777777777778,6.0,stimul,16.0,"no head noun, singular verb"
В отдалённые деревни съездят мы все.,2.7142857142857144,3.0,stimul,20.0,"we, nom, 3pl"
О скорых отставках объявят семеро из них.,5.777777777777778,6.0,stimul,36.0,"they, elect, 3pl"
"Каждая, кто явилась на собрание родителей, расспрашивает классного руководителя.",3.9,4.0,stimul,34.0,"no head noun, feminine head, feminine verb"
Я и Ваня возьмут краткосрочный отпуск.,2.2222222222222223,2.0,stimul,6.0,"3pl, and"
"Или я, или Олег подпишут это деловое соглашение.",2.8,3.0,stimul,17.0,"3pl, or_or"
Новаторство и традиция смыкается в усадебном стиле.,3.6666666666666665,4.0,stimul,18.0,"symmetric, singular verb, SV"
Они четверо познакомятся с артистами спектакля.,5.4,5.0,stimul,33.0,"they, nom, 3pl"
Ты и я планируют поездку на дачу.,3.533333333333333,4.0,stimul,16.0,"you_I, 3pl"
Интеллигенция и пролетариат осуждается в современном мире.,4.8,5.0,stimul,12.0,"nonsymmetric, singular verb, SV"
На курсы вождения пойдут они пятеро.,3.2222222222222223,3.0,stimul,46.0,"they, nom, 3pl"
"Многие, кто последует за гидом, увидят памятник.",5.2,5.0,stimul,32.0,"no head noun, singular verb"
"Каждую, кто отсутствовал на консультациях учителя, пугает выпускной экзамен.",5.0,5.0,stimul,22.0,"no head noun, feminine head, masculine verb"
Я или Саша отнесу это тяжёлое ведро.,2.1,2.0,stimul,32.0,"1sg, or"
"Каждая работница, кто трудилась на производстве чугуна, получает большую пенсию.",3.7142857142857135,4.0,stimul,20.0,"with head noun, feminine head, feminine verb"
"И я, и Никита попросит дополнительный отгул.",3.0,3.0,stimul,10.0,"3sg, and_and"
В гостиничные номера вернутся все из нас.,4.333333333333333,4.0,stimul,15.0,"we, elect, 3pl"
Константин опубликовал два простых и шесть сложных рецептов в кулинарном блоге.,5.111111111111111,5.0,stimul,2.0,"different, plural, numeral_yes"
"Те пациенты, кто переедут в санаторий, продолжат лечение.",4.090909090909091,4.0,stimul,15.0,"with head noun, plural verb"
Весной я с Ксюшей планирую предстоящий отпуск.,6.571428571428571,7.0,stimul,20.0,"comitative, 1st person pronoun"
Историк будет заниматься языческим или христианским обрядом.,4.823529411764706,5.0,stimul,7.0,"singular, or"
Мы двое придём на пятничную вечеринку.,3.6666666666666665,4.0,stimul,1.0,"we, nom, 1pl"
Яша запишет этот почтовую адрес.,2.925,3.0,filler,33.0,bad
Со свадебными фотографами свяжется двое из нас.,3.625,4.0,stimul,25.0,"we, elect, 3sg"
Ты и я закрываем долги за семестр.,5.2,5.0,stimul,27.0,"you_I, 1pl"
"Две книги лежали на дубовой полке, висевшей на стене.",5.666666666666667,6.0,stimul,7.0,"plural verb, SV, feminine noun"
Мы двое сыграет на акустической гитаре.,1.25,1.0,stimul,13.0,"we, nom, 3sg"
Долг и зло переплетаются в оригинальном сценарии.,5.555555555555555,6.0,stimul,28.0,"symmetric, plural verb, SV"
В его поведении люди видят лицемерие и заносчивость.,6.345454545454546,6.0,filler,501.0,good
Подруги приносят варенье и чай в городскую больницу.,6.181818181818182,6.0,filler,501.0,good
Все из них искупаются в крещенской проруби.,3.6666666666666665,4.0,stimul,4.0,"they, elect, 3pl"
Иногородняя и местная интеллигенция побывали на собрании.,4.944444444444445,5.0,stimul,28.0,"singular, gap"
Андрей наденет эту тёплую куртку.,6.2625,6.0,filler,33.0,good
Мы все помогут с проведением экзаменов.,2.1666666666666665,2.0,stimul,3.0,"we, nom, 3pl"
Осенью мы с Костей засушиваем кленовые листья.,5.625,6.0,stimul,10.0,"inclusory comitative, 1st person pronoun"
Со свадебными фотографами свяжемся двое из нас.,2.2222222222222223,2.0,stimul,25.0,"we, elect, 1pl"
В магазин привезли эти сотню книг.,3.0,3.0,sotnya,3.0,"acc, unanimated"
Актриса порицает самоуверенностью и наглость в молодых артистах.,3.78,4.0,filler,501.0,bad
За поломанные инструменты ответят мы шестеро.,1.6,2.0,stimul,35.0,"we, nom, 3pl"
Во время прогулки Дима нашел иголки сибирской и китайской елей.,6.181818181818182,6.0,stimul,2.0,"plural, and"
Перекус из овощей готовишь я и ты.,2.5384615384615383,3.0,stimul,31.0,"I_you, 2sg"
В человеческом общении различаются честность и прямолинейность.,4.2,4.0,stimul,3.0,"symmetric, plural verb, VS"
В спортивные секции запишется мы семеро.,1.75,2.0,stimul,12.0,"we, nom, 3sg"
О скорых отставках объявим мы все.,4.25,4.0,stimul,36.0,"we, nom, 1pl"
"Каждого мужчину, кто позанимался в студии йоги, отличает душевное равновесие.",4.375,4.0,stimul,4.0,"with head noun, masculine head, masculine verb"
В отдаленном регионе развиваются город и деревня.,5.6,6.0,stimul,10.0,"nonsymmetric, plural verb, VS"
Лаборант воспользуется импортным или отечественным реагентом.,5.5,6.0,stimul,21.0,"singular, or"
"Каждая, кто отучился на факультете политики, помнит молодого преподавателя.",4.285714285714286,4.0,stimul,9.0,"no head noun, feminine head, masculine verb"
Они все сыграют на акустической гитаре.,5.4,5.0,stimul,13.0,"they, oni, 3pl"
В байдарочные походы отправится четверо из них.,3.7777777777777777,4.0,stimul,27.0,"they, elect, 3sg"
В левом бедре срастаются протез и кость.,6.0,6.0,stimul,30.0,"symmetric, plural verb, VS"
Ты и я берут билет на самолёт.,2.857142857142857,3.0,stimul,14.0,"you_I, 3pl"
"Или Гриша, или я переведут эту английскую фразу.",3.9,4.0,stimul,25.0,"3pl, or_or"
Вечером я со Стёпой слушаю иностранные песни.,5.428571428571429,5.0,stimul,18.0,"comitative, 1st person pronoun"
"Каждая студентка, кто участвовал в конференции института, изучает теоретическую физику.",2.333333333333333,2.0,stimul,3.0,"with head noun, feminine head, masculine verb"
Начальник руководит десятком отделов.,6.791666666666667,7.0,,501.0,good
С нынешних позиций уволятся все из нас.,3.375,3.0,stimul,18.0,"we, elect, 3pl"
"Или я, или Гриша переведут эту английскую фразу.",2.3,2.0,stimul,25.0,"3pl, or_or"
"И Саша, и Коля оставим длинный комментарий.",3.0,3.0,filler,33.0,bad
"Четыре ключа лежали в старой сумке, висевшей в гардеробе.",5.714285714285714,6.0,stimul,14.0,"plural verb, SV, non-feminine noun"
Директор будет пользоваться личным и служебным автомобилем.,4.888888888888889,5.0,stimul,25.0,"singular, and"
Смирение и тщеславие противопоставляются в религиозных текстах.,6.428571428571429,6.0,stimul,15.0,"symmetric, plural verb, SV"
"В маленькой студии, расположенной в кинопавильоне, оказалось две камеры.",5.714285714285714,6.0,stimul,31.0,"singular verb, VS, feminine noun"
За новые проекты возьмутся семеро из нас.,6.222222222222222,6.0,stimul,42.0,"we, elect, 3pl"
"Каждый магистрант, кто отучился на факультете политики, помнит молодого преподавателя.",5.5,6.0,stimul,9.0,"with head noun, masculine head, masculine verb"
"Или я, или Никита внесу этот небольшой аванс.",3.3,3.0,stimul,14.0,"1sg, or_or"
Команда гордилась этими десятком наград.,2.9166666666666665,3.0,desyatok,13.0,"ins, unanimated"
Теперь они с Юлей пишут детскую книжку.,6.181818181818182,6.0,stimul,11.0,"inclusory comitative, 3rd person pronoun"
Олег составил пять финансовых и хозяйственные договоры для своих клиентов.,2.2222222222222223,2.0,stimul,10.0,"different-in-numeral, plural, numeral_no"
Моя куча книг лежала на полу.,4.727272727272728,5.0,stimul,19.0,"singular premodifier, singular verb"
Я и Юра устроит детский праздник.,1.9,2.0,stimul,26.0,"3sg, and"
Эта дюжина последователей ошиблась в выводах.,4.5,4.0,stimul,23.0,"singular premodifier, singular verb"
На проходной завода отметимся все из нас.,2.6666666666666665,3.0,stimul,38.0,"we, elect, 1pl"
Долг и зло переплетаются в оригинальном сценарии.,5.555555555555555,6.0,stimul,28.0,"symmetric, plural verb, SV"
Бизнесмен обзаведётся городским или загородным домами.,3.142857142857143,3.0,stimul,9.0,"plural, or"
"Или я, или Слава купим эту известную картину.",4.5,4.0,stimul,19.0,"1pl, or_or"
При приема на работу руководители учитывают опыт и осведомленность.,3.907407407407408,4.0,filler,501.0,bad
"Все, кто приплывут на корабле, пройдут проверку.",5.833333333333333,6.0,stimul,17.0,"no head noun, plural verb"
Со сломанными телефонами разберутся четверо из них.,5.111111111111111,5.0,stimul,9.0,"they, elect, 3pl"
Все из нас позаботятся о нужных продуктах.,4.9,5.0,stimul,30.0,"we, elect, 3pl"
Подруги приносят варенье и чай в городскую больницу.,6.181818181818182,6.0,filler,501.0,good
"Каждый, кто сходил на семинар профессора, критикует изложенную теорию.",6.0,6.0,stimul,26.0,"no head noun, masculine head, masculine verb"
Стены под покраску ровняют я и ты.,3.0,3.0,stimul,21.0,"I_you, 3pl"
Валерий заполнил пять электронных и шесть бумажных журналов в конце четверти.,6.375,6.0,stimul,26.0,"same, plural, numeral_yes"
Моя куча трав хранились в гербарии.,2.5,2.0,stimul,22.0,"singular premodifier, singular verb"
Напольные и настольные весы вышли из строя.,5.8,6.0,stimul,16.0,"plural, gap"
Андрей и я увижу кукольный спектакль.,4.3,4.0,stimul,4.0,"1sg, and"
"Или я, или Гоша начнёт этот непростой разговор.",2.7,3.0,stimul,28.0,"3sg, or_or"
Мы трое переедем в соседние страны.,5.75,6.0,stimul,32.0,"we, nom, 1pl"
Зимой Лёва и Арина вырезают бумажные снежинки.,6.308641975308642,6.0,filler,28.0,good
Режиссёр прославится документальным и художественным фильмом.,3.357142857142857,3.0,stimul,15.0,"singular, and"
"Каждая секретарша, кто уволился из отдела кадров, ругает жестокого начальника.",4.75,5.0,stimul,35.0,"with head noun, feminine head, masculine verb"
Эти дюжина коллег уходила в отпуск.,2.888888888888889,3.0,stimul,15.0,"plural premodifier, singular verb"
"Все отдыхающие, кто заплывет за буйки, заплатят  штраф.",4.529411764705882,5.0,stimul,31.0,"with head noun, singular verb"
За час до выхода Игорь записала адрес и номер.,1.947368421052632,2.0,filler,33.0,bad
"Каждый работник, кто трудился на производстве чугуна, получает большую пенсию.",5.285714285714286,5.0,stimul,20.0,"with head noun, masculine head, masculine verb"
"Все пользователи, кто заплатит за подписку, продлят доступ.",3.5294117647058822,4.0,stimul,7.0,"with head noun, singular verb"
В классическом искусстве умещается порядок и хаос.,5.333333333333333,5.0,stimul,25.0,"nonsymmetric, singular verb, VS"
Завтра я и Никита заполняем бумаги дедушки.,4.555555555555555,5.0,stimul,27.0,"conjunction, 1st person pronoun"
Вячеслав запланировал устные и стендовые доклады по теме диссертации.,5.0,5.0,stimul,8.0,"same, plural, numeral_no"
В его поведении люди видят лицемерие и заносчивость.,6.345454545454546,6.0,filler,501.0,good
На данный момент профессор пишет книгой и статью.,1.6181818181818182,2.0,filler,501.0,bad
Сейчас Митя и Слава изобретают разные лекарства.,5.72289156626506,6.0,filler,28.0,good
На старой фотографии сливаются лицо и фон.,6.0,6.0,stimul,2.0,"symmetric, plural verb, VS"
"На дачном участке, выходящем к реке, росли три дуба.",6.083333333333333,6.0,stimul,21.0,"plural verb, VS, non-feminine noun"
Двое из них придёт на пятничную вечеринку.,3.1818181818181817,3.0,stimul,1.0,"they, elect, 3sg"
Они четверо отправится в байдарочные походы.,2.5,2.0,stimul,27.0,"they, nom, 3sg"
О скорых отставках объявит они семеро.,1.7777777777777777,2.0,stimul,36.0,"they, nom, 3sg"
"Лист, содержащие важную информацию, были разбросаны по четырем папкам.",2.313725490196078,2.0,filler,500.0,bad
Смирение и тщеславие противопоставляются в религиозных текстах.,6.428571428571429,6.0,stimul,15.0,"symmetric, plural verb, SV"
Я и Данила найдут верный ответ.,3.3,3.0,stimul,20.0,"3pl, and"
Крючок и кольцо сцепляется в серебряной застежке.,4.5,4.0,stimul,6.0,"symmetric, singular verb, SV"
"Все, кто заплатят за подписку, продлят доступ.",4.2,4.0,stimul,7.0,"no head noun, plural verb"
"Или Миша, или я исправим эту случайную ошибку.",5.0,5.0,stimul,31.0,"1pl, or_or"
Мы четверо извинимся за допущенные ошибки.,4.5,4.0,stimul,45.0,"we, nom, 1pl"
"В июне Гоша угнал и рейсовый, и экскурсионный автобус.",4.727272727272728,5.0,stimul,14.0,"singular, and…and"
Ты и я покупаешь телевизор для бабушки.,2.1818181818181817,2.0,stimul,1.0,"you_I, 2sg"
На первом этапе скрепляются стекло и рама.,6.0,6.0,stimul,24.0,"symmetric, plural verb, VS"
Правда и ложь смешивается в официальной версии.,4.714285714285714,5.0,stimul,5.0,"symmetric, singular verb, SV"
Смирение и тщеславие противопоставляется в религиозных текстах.,4.142857142857143,4.0,stimul,15.0,"symmetric, singular verb, SV"
Во время отпуска друзья обустраивают кухне и прихожую.,1.9814814814814807,2.0,filler,501.0,bad
Медсестра и санитар пользовалась прочными перчатками.,3.9836065573770494,4.0,filler,45.0,bad
Знакомый обзаведется одноэтажным и двухэтажным домами.,6.071428571428571,6.0,stimul,24.0,"plural, and"
Сейчас он с Викой готовит маленький сюрприз.,4.636363636363637,5.0,stimul,7.0,"comitative, 3rd person pronoun"
Петя пишет сочинение и диктант на этом уроком.,2.3703703703703702,2.0,filler,501.0,bad
Мы трое прилетит в разные аэропорты.,1.3333333333333333,1.0,stimul,8.0,"we, nom, 3sg"
"Каждую, кто поступила на должность бухгалтера, выручает новая программа.",3.25,3.0,stimul,7.0,"no head noun, feminine head, feminine verb"
Они четверо разберётся со сломанными телефонами.,1.2,1.0,stimul,9.0,"they, nom, 3sg"
Профессор обзаведётся черным и серым пиджаками.,6.0588235294117645,6.0,stimul,3.0,"plural, and"
"И Дима, и я послушает праздничный концерт.",1.8,2.0,stimul,17.0,"3sg, and_and"
Двое из нас остановимся в дешёвых хостелах.,1.6,2.0,stimul,7.0,"we, elect, 1pl"
В первом предложении сочиняется существительное и местоимение.,3.333333333333333,3.0,stimul,21.0,"symmetric, singular verb, VS"
Двое из них отчитается за выполненные задачи.,3.2222222222222223,3.0,stimul,43.0,"they, elect, 3sg"
Только мы с Васей вскопают грядка под редис.,1.9428571428571428,2.0,filler,,bad
"Каждую, кто дежурил на месте катастрофы, выделяет невероятная смелость.",3.6666666666666665,4.0,stimul,5.0,"no head noun, feminine head, masculine verb"
Море и солнце описываются в известном стихотворении.,6.428571428571429,6.0,stimul,27.0,"nonsymmetric, plural verb, SV"
В перспективные акции вложимся мы все.,5.375,5.0,stimul,44.0,"we, nom, 1pl"
Со сломанными телефонами разберется четверо из них.,3.888888888888889,4.0,stimul,9.0,"they, elect, 3sg"
Мы все уволятся с нынешних позиций.,1.1666666666666667,1.0,stimul,18.0,"we, nom, 3pl"
Отец поделится шёлковым и бамбуковым халатом.,3.176470588235294,3.0,stimul,19.0,"singular, and"
"На дубовом шкафу, примыкавшем к камину, стояли два стакана.",4.75,5.0,stimul,1.0,"plural verb, VS, non-feminine noun"
Инженер возглавит вагоноремонтный и вагоностроительный завод.,4.066666666666666,4.0,stimul,14.0,"singular, and"
Глеб открыл два спортивных и три компьютерных магазина в соседних городах.,5.714285714285714,6.0,stimul,30.0,"same, singular, numeral_yes"
Я и Кирилл прополю капустную грядку.,3.2,3.0,stimul,24.0,"1sg, and"
Лесники вырубили эти тысячу деревьев.,3.1666666666666665,3.0,tisyacha,9.0,"acc, unanimated"
"Или я, или Вася проведём это экстренное совещание.",4.7,5.0,stimul,1.0,"1pl, or_or"
Александр посетил пять частных и три государственных музея с налоговой проверкой.,5.0,5.0,stimul,28.0,"different, singular, numeral_yes"
"К спутнику, вращающемуся вокруг Марса, летело две кометы.",5.846153846153846,6.0,stimul,10.0,"singular verb, VS, feminine noun"
Мы шестеро подметёт в учебных кабинетах.,1.0,1.0,stimul,41.0,"we, nom, 3sg"
Я и Стёпа попробует яблочный пирог.,2.3,2.0,stimul,9.0,"3sg, and"
Вечером он с Петей отправляет очередное письмо.,5.0,5.0,stimul,3.0,"comitative, 3rd person pronoun"
Андрей или я увидят этот кукольный спектакль.,3.4,3.0,stimul,2.0,"3pl, or"
В столичные вузы поступят они семеро.,2.75,3.0,stimul,17.0,"they, nom, 3pl"
Письмо от ректора читаешь я и ты.,2.25,2.0,stimul,11.0,"I_you, 2sg"
Билет на самолёт берут я и ты.,2.263157894736842,2.0,stimul,14.0,"I_you, 3pl"
Все из нас съездят в отдалённые деревни.,2.125,2.0,stimul,20.0,"we, elect, 3pl"
"Или Стёпа, или я исполнит эту оперную арию.",3.7777777777777777,4.0,stimul,4.0,"3sg, or_or"
На нижнем рисунке пересекается окружность и отрезок.,5.0,5.0,stimul,26.0,"symmetric, singular verb, VS"
Моё множество поклонников приехало на встречу.,3.3,3.0,stimul,14.0,"singular premodifier, singular verb"
"Каждого, кто сыграл в картине режиссёра, награждает Американская киноакадемия.",5.142857142857143,5.0,stimul,1.0,"no head noun, masculine head, masculine verb"
Мы пятеро побеседуют с очевидцами аварии.,1.6,2.0,stimul,34.0,"we, nom, 3pl"
Семен отработал два прямых и шесть боковых ударов в боксерском клубе.,6.333333333333333,6.0,stimul,16.0,"different, plural, numeral_yes"
Прядь и лента используются в модной прическе.,5.666666666666667,6.0,stimul,31.0,"nonsymmetric, plural verb, SV"
Правда и ложь смешиваются в официальной версии.,6.4,6.0,stimul,5.0,"symmetric, plural verb, SV"
Вера и религия игнорируются в этой теории.,5.857142857142857,6.0,stimul,23.0,"nonsymmetric, plural verb, SV"
"Многие, кто попадут на съезд, выиграют гранты.",5.333333333333333,5.0,stimul,14.0,"no head noun, plural verb"
