sentence,response,group,filler_type,type,sentence_id,lexicalization,condition,quant,strategy,pronoun,verb,author,response_round
Мы все возьмутся за новые проекты.,1.2,G,,stimul,671,42.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все возьмёмся за новые проекты.,6.333333333333333,F,,stimul,670,42.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все выступим на студенческих конференциях.,6.5,A,,stimul,334,21.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все выступят на студенческих конференциях.,2.6,B,,stimul,335,21.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,3.0
Мы все женимся в течение месяца.,6.25,L,,stimul,254,16.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все женятся в течение месяца.,2.6,M,,stimul,255,16.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,3.0
Мы все запишемся в спортивные секции.,6.2,H,,stimul,190,12.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все запишутся в спортивные секции.,3.5,I,,stimul,191,12.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,4.0
Мы все извинимся за допущенные ошибки.,5.75,I,,stimul,718,45.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все извинятся за допущенные ошибки.,1.375,J,,stimul,719,45.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все искупаемся в крещенской проруби.,5.0,A,,stimul,62,4.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,5.0
Мы все искупаются в крещенской проруби.,4.0,B,,stimul,63,4.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,4.0
Мы все объявим о скорых отставках.,5.666666666666667,P,,stimul,574,36.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все объявят о скорых отставках.,1.3333333333333333,A,,stimul,575,36.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все опубликуемся в научных журналах.,5.166666666666667,O,,stimul,30,2.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,5.0
Мы все опубликуются в научных журналах.,1.6666666666666667,P,,stimul,31,2.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все остановимся в дешёвых хостелах.,6.25,D,,stimul,110,7.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все остановятся в дешёвых хостелах.,1.9090909090909087,E,,stimul,111,7.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все ответим за поломанные инструменты.,6.0,O,,stimul,558,35.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все ответят за поломанные инструменты.,2.333333333333333,P,,stimul,559,35.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все отдохнут на южных курортах.,3.090909090909091,E,,stimul,383,24.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,3.0
Мы все отдохнём на южных курортах.,6.5,D,,stimul,382,24.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все отметимся на проходной завода.,5.4,B,,stimul,606,38.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,5.0
Мы все отметятся на проходной завода.,1.75,C,,stimul,607,38.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все отправимся в байдарочные походы.,6.0,G,,stimul,430,27.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все отправятся в байдарочные походы.,1.4,H,,stimul,431,27.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все отчитаемся за выполненные задачи.,6.0,G,,stimul,686,43.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все отчитаются за выполненные задачи.,1.5,H,,stimul,687,43.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все переедем в соседние страны.,6.75,L,,stimul,510,32.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,7.0
Мы все переедут в соседние страны.,1.4,M,,stimul,511,32.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все перезвоним по незнакомым номерам.,4.0,B,,stimul,350,22.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,4.0
Мы все перезвонят по незнакомым номерам.,2.25,C,,stimul,351,22.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все переночуем в больших палатках.,6.166666666666667,O,,stimul,302,19.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все переночуют в больших палатках.,1.6666666666666667,P,,stimul,303,19.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все переоденемся в карнавальные костюмы.,7.0,C,,stimul,94,6.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,7.0
Мы все переоденутся в карнавальные костюмы.,1.25,D,,stimul,95,6.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все победим на конкурсе чтецов.,5.833333333333333,A,,stimul,590,37.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все победят на конкурсе чтецов.,3.25,B,,stimul,591,37.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,3.0
Мы все побеседуем с очевидцами аварии.,5.666666666666667,N,,stimul,542,34.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все побеседуют с очевидцами аварии.,1.5,O,,stimul,543,34.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все подметут в учебных кабинетах.,1.3333333333333333,F,,stimul,655,41.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все подметём в учебных кабинетах.,5.727272727272728,E,,stimul,654,41.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все позаботимся о нужных продуктах.,5.875,J,,stimul,478,30.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все позаботятся о нужных продуктах.,2.272727272727273,K,,stimul,479,30.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все познакомимся с артистами спектакля.,6.0,M,,stimul,526,33.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все познакомятся с артистами спектакля.,2.6666666666666665,N,,stimul,527,33.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,3.0
Мы все пойдут на курсы вождения.,2.272727272727273,K,,stimul,735,46.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все пойдём на курсы вождения.,6.375,J,,stimul,734,46.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все покатаемся на двугорбых верблюдах.,6.0,F,,stimul,414,26.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все покатаются на двугорбых верблюдах.,1.4,G,,stimul,415,26.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все помогут с проведением экзаменов.,2.1666666666666665,A,,stimul,47,3.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все поможем с проведением экзаменов.,5.333333333333333,P,,stimul,46,3.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,5.0
Мы все порыбачат в лесных озёрах.,1.5,L,,stimul,495,31.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все порыбачим в лесных озёрах.,4.818181818181818,K,,stimul,494,31.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,5.0
Мы все поступим в столичные вузы.,6.6,M,,stimul,270,17.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,7.0
Мы все поступят в столичные вузы.,1.2222222222222223,N,,stimul,271,17.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все поучаствуем в социальных опросах.,6.5,L,,stimul,766,48.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все поучаствуют в социальных опросах.,2.0,M,,stimul,767,48.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все приберутся в старых кладовках.,1.5,L,,stimul,751,47.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все приберёмся в старых кладовках.,5.454545454545454,K,,stimul,750,47.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,5.0
Мы все придут на пятничную вечеринку.,2.333333333333333,O,,stimul,15,1.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все придём на пятничную вечеринку.,5.888888888888889,N,,stimul,14,1.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все приедем на утренних поездах.,6.5,B,,stimul,78,5.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все приедут на утренних поездах.,1.25,C,,stimul,79,5.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все прикрепимся к новым поликлиникам.,6.0,D,,stimul,638,40.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все прикрепятся к новым поликлиникам.,2.1818181818181817,E,,stimul,639,40.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все прилетим в разные аэропорты.,6.0,E,,stimul,126,8.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все прилетят в разные аэропорты.,1.3333333333333333,F,,stimul,127,8.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все присоединимся к поисковым отрядам.,6.6,H,,stimul,446,28.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,7.0
Мы все присоединятся к поисковым отрядам.,3.5,I,,stimul,447,28.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,4.0
Мы все разберемся со сломанными телефонами.,5.666666666666667,F,,stimul,142,9.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все разберутся со сломанными телефонами.,1.6,G,,stimul,143,9.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все рассчитаемся с кредитными долгами.,6.25,C,,stimul,366,23.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все рассчитаются с кредитными долгами.,1.25,D,,stimul,367,23.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все свяжемся со свадебными фотографами.,4.454545454545454,E,,stimul,398,25.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,4.0
Мы все свяжутся со свадебными фотографами.,1.6666666666666667,F,,stimul,399,25.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все согласимся на предложения конкурентов.,6.125,J,,stimul,222,14.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все согласятся на предложения конкурентов.,1.9,K,,stimul,223,14.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все созвонимся с поставщиками продуктов.,5.666666666666667,F,,stimul,158,10.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все созвонятся с поставщиками продуктов.,1.4,G,,stimul,159,10.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все справимся с заменой лампочек.,5.8,G,,stimul,174,11.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все справятся с заменой лампочек.,1.4,H,,stimul,175,11.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все съездим в отдалённые деревни.,4.0,P,,stimul,318,20.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,4.0
Мы все съездят в отдалённые деревни.,2.333333333333333,A,,stimul,319,20.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,2.0
Мы все сыграем на акустической гитаре.,6.5,I,,stimul,206,13.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все сыграют на акустической гитаре.,1.375,J,,stimul,207,13.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все сядем за первые парты.,5.5,C,,stimul,622,39.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,6.0
Мы все сядут за первые парты.,1.25,D,,stimul,623,39.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы все уволимся с нынешних позиций.,4.666666666666667,N,,stimul,286,18.0,"we, nom, 1pl",vse,nom,we,1pl,Belova_2023_1,5.0
Мы все уволятся с нынешних позиций.,1.1666666666666667,O,,stimul,287,18.0,"we, nom, 3pl",vse,nom,we,3pl,Belova_2023_1,1.0
Мы двое остановимся в дешёвых хостелах.,5.75,L,,stimul,102,7.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,6.0
Мы двое остановится в дешёвых хостелах.,1.8888888888888888,N,,stimul,104,7.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,2.0
Мы двое остановятся в дешёвых хостелах.,2.8,M,,stimul,103,7.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,3.0
Мы двое отчитаемся за выполненные задачи.,5.166666666666667,O,,stimul,678,43.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,5.0
Мы двое отчитается за выполненные задачи.,3.333333333333333,A,,stimul,680,43.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,3.0
Мы двое отчитаются за выполненные задачи.,2.333333333333333,P,,stimul,679,43.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы двое переночуем в больших палатках.,4.4,G,,stimul,294,19.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,4.0
Мы двое переночует в больших палатках.,3.5,I,,stimul,296,19.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,4.0
Мы двое переночуют в больших палатках.,1.9,H,,stimul,295,19.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы двое победим на конкурсе чтецов.,5.25,I,,stimul,582,37.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,5.0
Мы двое победит на конкурсе чтецов.,1.6363636363636365,K,,stimul,584,37.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,2.0
Мы двое победят на конкурсе чтецов.,1.25,J,,stimul,583,37.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,1.0
Мы двое порыбачат в лесных озёрах.,1.25,D,,stimul,487,31.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,1.0
Мы двое порыбачим в лесных озёрах.,5.5,C,,stimul,486,31.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,6.0
Мы двое порыбачит в лесных озёрах.,1.6363636363636365,E,,stimul,488,31.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,2.0
Мы двое придут на пятничную вечеринку.,1.8,G,,stimul,7,1.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы двое придём на пятничную вечеринку.,3.6666666666666665,F,,stimul,6,1.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,4.0
Мы двое придёт на пятничную вечеринку.,1.4,H,,stimul,8,1.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,1.0
Мы двое свяжемся со свадебными фотографами.,4.0,M,,stimul,390,25.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,4.0
Мы двое свяжется со свадебными фотографами.,1.6666666666666667,O,,stimul,392,25.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,2.0
Мы двое свяжутся со свадебными фотографами.,1.2222222222222223,N,,stimul,391,25.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,1.0
Мы двое сыграем на акустической гитаре.,4.166666666666667,A,,stimul,198,13.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,4.0
Мы двое сыграет на акустической гитаре.,1.25,C,,stimul,200,13.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,1.0
Мы двое сыграют на акустической гитаре.,1.6,B,,stimul,199,13.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы пятеро женимся в течение месяца.,6.0,D,,stimul,246,16.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,6.0
Мы пятеро женится в течение месяца.,1.3333333333333333,F,,stimul,248,16.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,1.0
Мы пятеро женятся в течение месяца.,2.4545454545454546,E,,stimul,247,16.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы пятеро искупаемся в крещенской проруби.,5.5,I,,stimul,54,4.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,6.0
Мы пятеро искупается в крещенской проруби.,2.0,K,,stimul,56,4.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,2.0
Мы пятеро искупаются в крещенской проруби.,1.25,J,,stimul,55,4.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,1.0
Мы пятеро перезвоним по незнакомым номерам.,5.375,J,,stimul,342,22.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,5.0
Мы пятеро перезвонит по незнакомым номерам.,1.5,L,,stimul,344,22.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,2.0
Мы пятеро перезвонят по незнакомым номерам.,1.7,K,,stimul,343,22.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы пятеро побеседуем с очевидцами аварии.,5.666666666666667,F,,stimul,534,34.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,6.0
Мы пятеро побеседует с очевидцами аварии.,2.1,H,,stimul,536,34.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,2.0
Мы пятеро побеседуют с очевидцами аварии.,1.6,G,,stimul,535,34.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы пятеро пойдут на курсы вождения.,2.75,C,,stimul,727,46.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,3.0
Мы пятеро пойдём на курсы вождения.,6.25,B,,stimul,726,46.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,6.0
Мы пятеро пойдёт на курсы вождения.,4.75,D,,stimul,728,46.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,5.0
Мы пятеро прикрепимся к новым поликлиникам.,6.75,L,,stimul,630,40.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,7.0
Мы пятеро прикрепится к новым поликлиникам.,1.6666666666666667,N,,stimul,632,40.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,2.0
Мы пятеро прикрепятся к новым поликлиникам.,1.4,M,,stimul,631,40.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,1.0
Мы пятеро присоединимся к поисковым отрядам.,4.333333333333333,P,,stimul,438,28.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,4.0
Мы пятеро присоединится к поисковым отрядам.,3.0,B,,stimul,440,28.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,3.0
Мы пятеро присоединятся к поисковым отрядам.,3.1666666666666665,A,,stimul,439,28.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,3.0
Мы пятеро созвонимся с поставщиками продуктов.,3.7777777777777777,N,,stimul,150,10.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,4.0
Мы пятеро созвонится с поставщиками продуктов.,2.0,P,,stimul,152,10.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,2.0
Мы пятеро созвонятся с поставщиками продуктов.,2.0,O,,stimul,151,10.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы семеро возьмутся за новые проекты.,1.3333333333333333,O,,stimul,663,42.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,1.0
Мы семеро возьмёмся за новые проекты.,2.375,N,,stimul,662,42.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,2.0
Мы семеро возьмётся за новые проекты.,2.333333333333333,P,,stimul,664,42.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,2.0
Мы семеро запишемся в спортивные секции.,4.666666666666667,P,,stimul,182,12.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,5.0
Мы семеро запишется в спортивные секции.,3.0,B,,stimul,184,12.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,3.0
Мы семеро запишутся в спортивные секции.,1.3333333333333333,A,,stimul,183,12.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,1.0
Мы семеро объявим о скорых отставках.,4.8,H,,stimul,566,36.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,5.0
Мы семеро объявит о скорых отставках.,1.375,J,,stimul,568,36.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,1.0
Мы семеро объявят о скорых отставках.,1.75,I,,stimul,567,36.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы семеро отдохнут на южных курортах.,1.4,M,,stimul,375,24.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,1.0
Мы семеро отдохнём на южных курортах.,5.5,L,,stimul,374,24.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,6.0
Мы семеро отдохнёт на южных курортах.,1.4444444444444444,N,,stimul,376,24.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,1.0
Мы семеро переоденемся в карнавальные костюмы.,3.727272727272727,K,,stimul,86,6.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,4.0
Мы семеро переоденется в карнавальные костюмы.,2.6,M,,stimul,88,6.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,3.0
Мы семеро переоденутся в карнавальные костюмы.,1.5,L,,stimul,87,6.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы семеро позаботимся о нужных продуктах.,5.6,B,,stimul,470,30.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,6.0
Мы семеро позаботится о нужных продуктах.,1.25,D,,stimul,472,30.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,1.0
Мы семеро позаботятся о нужных продуктах.,2.75,C,,stimul,471,30.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,3.0
Мы семеро поучаствуем в социальных опросах.,6.75,D,,stimul,758,48.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,7.0
Мы семеро поучаствует в социальных опросах.,2.0,F,,stimul,760,48.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,2.0
Мы семеро поучаствуют в социальных опросах.,2.1818181818181817,E,,stimul,759,48.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы семеро уволимся с нынешних позиций.,4.0,F,,stimul,278,18.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,4.0
Мы семеро уволится с нынешних позиций.,1.4,H,,stimul,280,18.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,1.0
Мы семеро уволятся с нынешних позиций.,1.6,G,,stimul,279,18.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы трое вложатся в перспективные акции.,1.6666666666666667,A,,stimul,695,44.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы трое вложимся в перспективные акции.,5.333333333333333,P,,stimul,694,44.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,5.0
Мы трое вложится в перспективные акции.,2.75,B,,stimul,696,44.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,3.0
Мы трое опубликуемся в научных журналах.,4.0,G,,stimul,22,2.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,4.0
Мы трое опубликуется в научных журналах.,2.0,I,,stimul,24,2.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,2.0
Мы трое опубликуются в научных журналах.,1.3333333333333333,H,,stimul,23,2.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,1.0
Мы трое отметимся на проходной завода.,5.375,J,,stimul,598,38.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,5.0
Мы трое отметится на проходной завода.,4.0,L,,stimul,600,38.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,4.0
Мы трое отметятся на проходной завода.,1.818181818181818,K,,stimul,599,38.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы трое переедем в соседние страны.,5.75,D,,stimul,502,32.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,6.0
Мы трое переедет в соседние страны.,2.0,F,,stimul,504,32.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,2.0
Мы трое переедут в соседние страны.,1.818181818181818,E,,stimul,503,32.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы трое покатаемся на двугорбых верблюдах.,3.2222222222222223,N,,stimul,406,26.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,3.0
Мы трое покатается на двугорбых верблюдах.,3.6666666666666665,P,,stimul,408,26.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,4.0
Мы трое покатаются на двугорбых верблюдах.,1.6,O,,stimul,407,26.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы трое прилетим в разные аэропорты.,3.8,M,,stimul,118,8.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,4.0
Мы трое прилетит в разные аэропорты.,1.3333333333333333,O,,stimul,120,8.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,1.0
Мы трое прилетят в разные аэропорты.,1.4444444444444444,N,,stimul,119,8.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,1.0
Мы трое согласимся на предложения конкурентов.,5.0,B,,stimul,214,14.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,5.0
Мы трое согласится на предложения конкурентов.,1.25,D,,stimul,216,14.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,1.0
Мы трое согласятся на предложения конкурентов.,1.5,C,,stimul,215,14.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,2.0
Мы трое съездим в отдалённые деревни.,4.9,H,,stimul,310,20.0,"we, nom, 1pl",dvoje,nom,we,1pl,Belova_2023_1,5.0
Мы трое съездит в отдалённые деревни.,1.25,J,,stimul,312,20.0,"we, nom, 3sg",dvoje,nom,we,3sg,Belova_2023_1,1.0
Мы трое съездят в отдалённые деревни.,2.75,I,,stimul,311,20.0,"we, nom, 3pl",dvoje,nom,we,3pl,Belova_2023_1,3.0
