sentence,response,group,filler_type,type,sentence_id,lexicalization,condition,quant,strategy,pronoun,verb,author,response_round
В разные аэропорты прилетим трое из нас.,2.555555555555556,A,,stimul,113,8.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
В разные аэропорты прилетит мы трое.,1.5,H,,stimul,120,8.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В разные аэропорты прилетит они трое.,1.4444444444444444,J,,stimul,122,8.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,1.0
В разные аэропорты прилетит трое из нас.,3.111111111111111,C,,stimul,115,8.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,3.0
В разные аэропорты прилетит трое из них.,2.555555555555556,E,,stimul,117,8.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,3.0
В разные аэропорты прилетят все из нас.,3.0,L,,stimul,124,8.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
В разные аэропорты прилетят все из них.,4.333333333333333,M,,stimul,125,8.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В разные аэропорты прилетят мы все.,2.375,O,,stimul,127,8.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
В разные аэропорты прилетят мы трое.,1.9,G,,stimul,119,8.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В разные аэропорты прилетят они все.,3.7777777777777777,P,,stimul,128,8.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
В разные аэропорты прилетят они трое.,2.888888888888889,I,,stimul,121,8.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В разные аэропорты прилетят трое из нас.,4.888888888888889,B,,stimul,114,8.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
В разные аэропорты прилетят трое из них.,5.555555555555555,D,,stimul,116,8.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
В соседние страны переедем все из нас.,2.555555555555556,K,,stimul,507,32.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В соседние страны переедем мы все.,4.875,N,,stimul,510,32.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,5.0
В соседние страны переедем мы трое.,4.375,F,,stimul,502,32.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В соседние страны переедем трое из нас.,2.7777777777777777,A,,stimul,497,32.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
В соседние страны переедет мы трое.,1.75,H,,stimul,504,32.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В соседние страны переедет они трое.,1.5555555555555556,J,,stimul,506,32.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
В соседние страны переедет трое из нас.,6.111111111111111,C,,stimul,499,32.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,6.0
В соседние страны переедет трое из них.,3.333333333333333,E,,stimul,501,32.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,3.0
В соседние страны переедут все из нас.,3.2222222222222223,L,,stimul,508,32.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
В соседние страны переедут все из них.,4.222222222222222,M,,stimul,509,32.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В соседние страны переедут мы все.,2.625,O,,stimul,511,32.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
В соседние страны переедут мы трое.,2.0,G,,stimul,503,32.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В соседние страны переедут они все.,4.444444444444445,P,,stimul,512,32.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
В соседние страны переедут они трое.,3.0,I,,stimul,505,32.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В соседние страны переедут трое из нас.,5.777777777777778,B,,stimul,498,32.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
В соседние страны переедут трое из них.,5.777777777777778,D,,stimul,500,32.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
В социальных опросах поучаствуем все из нас.,2.555555555555556,K,,stimul,763,48.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В социальных опросах поучаствуем мы все.,5.0,N,,stimul,766,48.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,5.0
В социальных опросах поучаствуем мы семеро.,4.5,F,,stimul,758,48.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В социальных опросах поучаствуем семеро из нас.,2.555555555555556,A,,stimul,753,48.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
В социальных опросах поучаствует мы семеро.,2.0,H,,stimul,760,48.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В социальных опросах поучаствует они семеро.,2.2222222222222223,J,,stimul,762,48.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
В социальных опросах поучаствует семеро из нас.,5.666666666666667,C,,stimul,755,48.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,6.0
В социальных опросах поучаствует семеро из них.,4.625,E,,stimul,757,48.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,5.0
В социальных опросах поучаствуют все из нас.,3.7777777777777777,L,,stimul,764,48.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
В социальных опросах поучаствуют все из них.,4.444444444444445,M,,stimul,765,48.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В социальных опросах поучаствуют мы все.,2.75,O,,stimul,767,48.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
В социальных опросах поучаствуют мы семеро.,1.9,G,,stimul,759,48.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В социальных опросах поучаствуют они все.,5.25,P,,stimul,768,48.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
В социальных опросах поучаствуют они семеро.,3.333333333333333,I,,stimul,761,48.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В социальных опросах поучаствуют семеро из нас.,5.888888888888889,B,,stimul,754,48.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
В социальных опросах поучаствуют семеро из них.,5.888888888888889,D,,stimul,756,48.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
В спортивные секции запишемся все из нас.,2.6666666666666665,K,,stimul,187,12.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В спортивные секции запишемся мы все.,3.857142857142857,N,,stimul,190,12.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
В спортивные секции запишемся мы семеро.,3.625,F,,stimul,182,12.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В спортивные секции запишемся семеро из нас.,2.6666666666666665,A,,stimul,177,12.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
В спортивные секции запишется мы семеро.,1.75,H,,stimul,184,12.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В спортивные секции запишется они семеро.,1.6666666666666667,J,,stimul,186,12.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
В спортивные секции запишется семеро из нас.,5.333333333333333,C,,stimul,179,12.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
В спортивные секции запишется семеро из них.,3.5,E,,stimul,181,12.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
В спортивные секции запишутся все из нас.,4.0,L,,stimul,188,12.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
В спортивные секции запишутся все из них.,3.888888888888889,M,,stimul,189,12.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В спортивные секции запишутся мы все.,2.5,O,,stimul,191,12.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
В спортивные секции запишутся мы семеро.,2.0,G,,stimul,183,12.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В спортивные секции запишутся они все.,3.888888888888889,P,,stimul,192,12.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
В спортивные секции запишутся они семеро.,3.4444444444444446,I,,stimul,185,12.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В спортивные секции запишутся семеро из нас.,6.555555555555555,B,,stimul,178,12.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,7.0
В спортивные секции запишутся семеро из них.,4.777777777777778,D,,stimul,180,12.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,5.0
В старых кладовках приберутся все из нас.,3.333333333333333,L,,stimul,748,47.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
В старых кладовках приберутся все из них.,3.4444444444444446,M,,stimul,749,47.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,3.0
В старых кладовках приберутся мы все.,2.5,O,,stimul,751,47.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
В старых кладовках приберутся мы шестеро.,1.8888888888888888,I,,stimul,745,47.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,2.0
В старых кладовках приберутся они все.,4.333333333333333,P,,stimul,752,47.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
В старых кладовках приберутся шестеро из нас.,5.375,B,,stimul,738,47.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
В старых кладовках приберутся шестеро из них.,5.222222222222222,D,,stimul,740,47.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,5.0
В старых кладовках приберёмся все из нас.,2.555555555555556,K,,stimul,747,47.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В старых кладовках приберёмся мы все.,3.5,N,,stimul,750,47.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
В старых кладовках приберёмся мы шестеро.,4.25,F,,stimul,742,47.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В старых кладовках приберёмся шестеро из нас.,2.4444444444444446,A,,stimul,737,47.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
В старых кладовках приберётся мы шестеро.,1.7647058823529411,H,,stimul,744,47.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В старых кладовках приберётся шестеро из нас.,5.222222222222222,C,,stimul,739,47.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
В старых кладовках приберётся шестеро из них.,4.0,E,,stimul,741,47.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
В столичные вузы поступим все из нас.,2.6666666666666665,K,,stimul,267,17.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В столичные вузы поступим мы все.,4.125,N,,stimul,270,17.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
В столичные вузы поступим мы семеро.,4.0,F,,stimul,262,17.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В столичные вузы поступим семеро из нас.,2.4444444444444446,A,,stimul,257,17.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
В столичные вузы поступит мы семеро.,2.0,H,,stimul,264,17.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В столичные вузы поступит они семеро.,1.5555555555555556,J,,stimul,266,17.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
В столичные вузы поступит семеро из нас.,5.444444444444445,C,,stimul,259,17.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
В столичные вузы поступит семеро из них.,3.555555555555556,E,,stimul,261,17.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
В столичные вузы поступят все из нас.,4.222222222222222,L,,stimul,268,17.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
В столичные вузы поступят все из них.,4.444444444444445,M,,stimul,269,17.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В столичные вузы поступят мы все.,2.375,O,,stimul,271,17.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
В столичные вузы поступят мы семеро.,1.8,G,,stimul,263,17.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В столичные вузы поступят они все.,4.555555555555555,P,,stimul,272,17.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
В столичные вузы поступят они семеро.,2.75,I,,stimul,265,17.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В столичные вузы поступят семеро из нас.,6.111111111111111,B,,stimul,258,17.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
В столичные вузы поступят семеро из них.,5.333333333333333,D,,stimul,260,17.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,5.0
В течение месяца женимся все из нас.,2.4444444444444446,K,,stimul,251,16.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,2.0
В течение месяца женимся мы все.,3.25,N,,stimul,254,16.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,3.0
В течение месяца женимся мы пятеро.,4.625,F,,stimul,246,16.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,5.0
В течение месяца женимся пятеро из нас.,2.6666666666666665,A,,stimul,241,16.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
В течение месяца женится мы пятеро.,2.142857142857143,H,,stimul,248,16.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В течение месяца женится они пятеро.,1.6666666666666667,J,,stimul,250,16.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
В течение месяца женится пятеро из нас.,5.0,C,,stimul,243,16.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
В течение месяца женится пятеро из них.,3.7777777777777777,E,,stimul,245,16.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
В течение месяца женятся все из нас.,4.0,L,,stimul,252,16.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
В течение месяца женятся все из них.,4.0,M,,stimul,253,16.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В течение месяца женятся мы все.,2.0,O,,stimul,255,16.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
В течение месяца женятся мы пятеро.,1.8,G,,stimul,247,16.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В течение месяца женятся они все.,3.6666666666666665,P,,stimul,256,16.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
В течение месяца женятся они пятеро.,2.4444444444444446,I,,stimul,249,16.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,2.0
В течение месяца женятся пятеро из нас.,5.333333333333333,B,,stimul,242,16.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
В течение месяца женятся пятеро из них.,5.444444444444445,D,,stimul,244,16.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,5.0
В учебных кабинетах подметут все из нас.,3.111111111111111,L,,stimul,652,41.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
В учебных кабинетах подметут все из них.,3.888888888888889,M,,stimul,653,41.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
В учебных кабинетах подметут мы все.,2.2857142857142856,O,,stimul,655,41.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
В учебных кабинетах подметут мы шестеро.,2.0,G,,stimul,647,41.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
В учебных кабинетах подметут они все.,3.7777777777777777,P,,stimul,656,41.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,4.0
В учебных кабинетах подметут они шестеро.,2.888888888888889,I,,stimul,649,41.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
В учебных кабинетах подметут шестеро из нас.,5.222222222222222,B,,stimul,642,41.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
В учебных кабинетах подметут шестеро из них.,5.666666666666667,D,,stimul,644,41.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
В учебных кабинетах подметём все из нас.,2.6666666666666665,K,,stimul,651,41.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
В учебных кабинетах подметём мы все.,3.75,N,,stimul,654,41.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
В учебных кабинетах подметём мы шестеро.,3.875,F,,stimul,646,41.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
В учебных кабинетах подметём шестеро из нас.,2.555555555555556,A,,stimul,641,41.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
В учебных кабинетах подметёт мы шестеро.,2.0,H,,stimul,648,41.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
В учебных кабинетах подметёт они шестеро.,1.4444444444444444,J,,stimul,650,41.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,1.0
В учебных кабинетах подметёт шестеро из нас.,4.555555555555555,C,,stimul,643,41.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
В учебных кабинетах подметёт шестеро из них.,3.555555555555556,E,,stimul,645,41.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
Вдвоём мы сможем переправиться на другом берега.,2.5428571428571427,Fil,bad,filler,805,,,,,,,Belova_2023_2,3.0
Восемь клёнов будут посадят на этом аллее.,2.398550724637681,Fil,bad,filler,811,,,,,,,Belova_2023_2,2.0
Восемь первокурсник придут на конференцией.,2.302158273381295,Fil,bad,filler,808,,,,,,,Belova_2023_2,2.0
Вы с Андреем оплатите ремонт карбюратора.,6.120567375886525,Fil,good,filler,779,,,,,,,Belova_2023_2,6.0
Вы с Дашей не возмут билетам на этот концерт.,1.6762589928057554,Fil,bad,filler,793,,,,,,,Belova_2023_2,2.0
Вы с Димой подключитесь к уроку по видеосвязи.,5.798507462686567,Fil,good,filler,778,,,,,,,Belova_2023_2,6.0
Вы с Кириллом будете строго наказаны.,6.212765957446808,Fil,good,filler,776,,,,,,,Belova_2023_2,6.0
Вы с Костей построите крепость из снегом.,2.8652482269503547,Fil,bad,filler,797,,,,,,,Belova_2023_2,3.0
Вы с Любой выкупим цепочку из ломбарде.,2.1510791366906474,Fil,bad,filler,798,,,,,,,Belova_2023_2,2.0
Вы с Любой испечёте шоколадное печенье.,5.531914893617022,Fil,good,filler,774,,,,,,,Belova_2023_2,6.0
Вы с Мариной останетесь в лагере ещё на неделю.,5.992700729927007,Fil,good,filler,771,,,,,,,Belova_2023_2,6.0
Вы с Пашей будете писать контрольную во вторник.,6.307142857142857,Fil,good,filler,775,,,,,,,Belova_2023_2,6.0
Вы с Ульяной сделают все домашнего задания.,1.8333333333333333,Fil,bad,filler,803,,,,,,,Belova_2023_2,2.0
Два ресторана в этом городе будут награждены почётной наградой.,5.875,Fil,good,filler,790,,,,,,,Belova_2023_2,6.0
Двое грабителей предстанут перед судом.,6.428571428571429,Fil,good,filler,786,,,,,,,Belova_2023_2,6.0
Двое легкоатлетов будут сняты с соревнования.,5.884892086330935,Fil,good,filler,784,,,,,,,Belova_2023_2,6.0
Двое часовых будут стоять у парадного входа.,6.15,Fil,good,filler,791,,,,,,,Belova_2023_2,6.0
За выполненные задачи отчитаемся все из нас.,3.111111111111111,K,,stimul,683,43.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
За выполненные задачи отчитаемся двое из нас.,2.2222222222222223,A,,stimul,673,43.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,2.0
За выполненные задачи отчитаемся мы все.,4.428571428571429,N,,stimul,686,43.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,4.0
За выполненные задачи отчитаемся мы двое.,5.125,F,,stimul,678,43.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,5.0
За выполненные задачи отчитается двое из нас.,5.555555555555555,C,,stimul,675,43.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,6.0
За выполненные задачи отчитается двое из них.,3.333333333333333,E,,stimul,677,43.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,3.0
За выполненные задачи отчитается мы двое.,2.75,H,,stimul,680,43.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,3.0
За выполненные задачи отчитается они двое.,1.4444444444444444,J,,stimul,682,43.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,1.0
За выполненные задачи отчитаются все из нас.,3.888888888888889,L,,stimul,684,43.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
За выполненные задачи отчитаются все из них.,4.0,M,,stimul,685,43.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
За выполненные задачи отчитаются двое из нас.,5.555555555555555,B,,stimul,674,43.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
За выполненные задачи отчитаются двое из них.,6.0,D,,stimul,676,43.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
За выполненные задачи отчитаются мы все.,2.125,O,,stimul,687,43.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
За выполненные задачи отчитаются мы двое.,2.3,G,,stimul,679,43.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
За выполненные задачи отчитаются они все.,4.666666666666667,P,,stimul,688,43.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
За выполненные задачи отчитаются они двое.,3.555555555555556,I,,stimul,681,43.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,4.0
За допущенные ошибки извинимся все из нас.,2.6666666666666665,K,,stimul,715,45.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
За допущенные ошибки извинимся мы все.,5.0,N,,stimul,718,45.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,5.0
За допущенные ошибки извинимся мы четверо.,4.875,F,,stimul,710,45.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,5.0
За допущенные ошибки извинимся четверо из нас.,2.555555555555556,A,,stimul,705,45.0,dvoje.elect.my.1pl,dvoje,elect,my,1pl,Belova_2023_2,3.0
За допущенные ошибки извинится мы четверо.,2.0,H,,stimul,712,45.0,dvoje.nom.my.3sg,dvoje,nom,my,3sg,Belova_2023_2,2.0
За допущенные ошибки извинится они четверо.,1.7777777777777777,J,,stimul,714,45.0,dvoje.nom.oni.3sg,dvoje,nom,oni,3sg,Belova_2023_2,2.0
За допущенные ошибки извинится четверо из нас.,5.222222222222222,C,,stimul,707,45.0,dvoje.elect.my.3sg,dvoje,elect,my,3sg,Belova_2023_2,5.0
За допущенные ошибки извинится четверо из них.,3.888888888888889,E,,stimul,709,45.0,dvoje.elect.oni.3sg,dvoje,elect,oni,3sg,Belova_2023_2,4.0
За допущенные ошибки извинятся все из нас.,3.4444444444444446,L,,stimul,716,45.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,3.0
За допущенные ошибки извинятся все из них.,3.888888888888889,M,,stimul,717,45.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,4.0
За допущенные ошибки извинятся мы все.,2.125,O,,stimul,719,45.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,2.0
За допущенные ошибки извинятся мы четверо.,1.8,G,,stimul,711,45.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
За допущенные ошибки извинятся они все.,4.666666666666667,P,,stimul,720,45.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
За допущенные ошибки извинятся они четверо.,3.125,I,,stimul,713,45.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
За допущенные ошибки извинятся четверо из нас.,5.444444444444445,B,,stimul,706,45.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,5.0
За допущенные ошибки извинятся четверо из них.,6.0,D,,stimul,708,45.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
За новые проекты возьмутся все из нас.,3.6666666666666665,L,,stimul,668,42.0,vse.elect.my.3pl,vse,elect,my,3pl,Belova_2023_2,4.0
За новые проекты возьмутся все из них.,4.555555555555555,M,,stimul,669,42.0,vse.elect.oni.3pl,vse,elect,oni,3pl,Belova_2023_2,5.0
За новые проекты возьмутся мы все.,2.571428571428572,O,,stimul,671,42.0,vse.nom.my.3pl,vse,nom,my,3pl,Belova_2023_2,3.0
За новые проекты возьмутся мы семеро.,1.8,G,,stimul,663,42.0,dvoje.nom.my.3pl,dvoje,nom,my,3pl,Belova_2023_2,2.0
За новые проекты возьмутся они все.,4.555555555555555,P,,stimul,672,42.0,vse.oni.nom.3pl,vse,oni,nom,3pl,Belova_2023_2,5.0
За новые проекты возьмутся они семеро.,3.111111111111111,I,,stimul,665,42.0,dvoje.nom.oni.3pl,dvoje,nom,oni,3pl,Belova_2023_2,3.0
За новые проекты возьмутся семеро из нас.,6.222222222222222,B,,stimul,658,42.0,dvoje.elect.my.3pl,dvoje,elect,my,3pl,Belova_2023_2,6.0
За новые проекты возьмутся семеро из них.,6.222222222222222,D,,stimul,660,42.0,dvoje.elect.oni.3pl,dvoje,elect,oni,3pl,Belova_2023_2,6.0
За новые проекты возьмёмся все из нас.,2.7777777777777777,K,,stimul,667,42.0,vse.elect.my.1pl,vse,elect,my,1pl,Belova_2023_2,3.0
За новые проекты возьмёмся мы все.,5.375,N,,stimul,670,42.0,vse.nom.my.1pl,vse,nom,my,1pl,Belova_2023_2,5.0
За новые проекты возьмёмся мы семеро.,4.125,F,,stimul,662,42.0,dvoje.nom.my.1pl,dvoje,nom,my,1pl,Belova_2023_2,4.0
