experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,conjuncts,agreement,conjunction,order,predicate_type,gender_match
Pasko_2022,В отдаленном регионе сближается город и деревня.,4.142857142857143,4.0,coordination,stimul,10,75,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,Долг и зло отображаются в оригинальном сценарии.,4.25,4.0,coordination,stimul,28,222,noun_noun,pl,and,SV,nonsymmetric,nonmatch
Pasko_2022,Город и деревня развиваются в отдаленном регионе.,4.333333333333333,4.0,coordination,stimul,10,78,noun_noun,pl,and,SV,nonsymmetric,nonmatch
Pasko_2022,Теория и практика совмещаются в новом курсе.,6.285714285714286,6.0,coordination,stimul,7,50,noun_noun,pl,and,SV,symmetric,match
Pasko_2022,Рабочие едят кашу и запеканку в заводской столовой.,6.2727272727272725,6.0,good,filler,501,525,,,,,,
Pasko_2022,В первом предложении сочиняется существительное и местоимение.,3.333333333333333,3.0,coordination,stimul,21,163,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,Расход и прибыль учитывается в годовом отчете.,5.166666666666667,5.0,coordination,stimul,16,128,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,В официальной версии скрывается правда и ложь.,6.1,6.0,coordination,stimul,5,39,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,В мамином характере соединяется мягкость и строгость.,5.9,6.0,coordination,stimul,1,3,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,Оригинал и подделка изучается на музейной экспертизе.,4.2,4.0,coordination,stimul,20,160,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,Карьера и образование анализируются в последнем докладе.,5.888888888888889,6.0,coordination,stimul,8,62,noun_noun,pl,and,SV,nonsymmetric,nonmatch
Pasko_2022,В левом бедре срастаются протез и кость.,6.0,6.0,coordination,stimul,30,233,noun_noun,pl,and,VS,symmetric,nonmatch
Pasko_2022,Вера и религия отождествляются в этой теории.,6.285714285714286,6.0,coordination,stimul,23,178,noun_noun,pl,and,SV,symmetric,match
Pasko_2022,Прошлое и настоящее встречаются в этой точке.,5.666666666666667,6.0,coordination,stimul,9,66,noun_noun,pl,and,SV,symmetric,match
Pasko_2022,Интеллигенция и пролетариат разобщается в современном мире.,5.4,5.0,coordination,stimul,12,92,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,В дешевом блокноте склеиваются бумага и обложка.,6.25,6.0,coordination,stimul,17,129,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,Прядь и лента сплетается в модной прическе.,3.0,3.0,coordination,stimul,31,244,noun_noun,sg,and,SV,symmetric,match
Pasko_2022,Рабочие красят пол и потолок в самой большой комнату.,2.145454545454545,2.0,bad,filler,501,522,,,,,,
Pasko_2022,В примитивном механизме перетираются провод и ремень.,5.75,6.0,coordination,stimul,29,229,noun_noun,pl,and,VS,nonsymmetric,match
Pasko_2022,В левом бедре срастается протез и кость.,4.428571428571429,4.0,coordination,stimul,30,235,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,Папа преподает биологию и химию в старшей школе.,6.4,6.0,good,filler,501,509,,,,,,
Pasko_2022,Провод и ремень спутываются в примитивном механизме.,5.2,5.0,coordination,stimul,29,226,noun_noun,pl,and,SV,symmetric,match
Pasko_2022,На старой фотографии сливается лицо и фон.,5.714285714285714,6.0,coordination,stimul,2,11,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,В глубокую емкость ссыпаются соль и сахар.,5.714285714285714,6.0,coordination,stimul,4,25,noun_noun,pl,and,VS,symmetric,nonmatch
Pasko_2022,В модной прическе используются прядь и лента.,6.333333333333333,6.0,coordination,stimul,31,245,noun_noun,pl,and,VS,nonsymmetric,match
Pasko_2022,В серебряной застежке сцепляется крючок и кольцо.,5.142857142857143,5.0,coordination,stimul,6,43,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,Расход и прибыль складывается в годовом отчете.,4.0,4.0,coordination,stimul,16,124,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,Соль и сахар ссыпается в глубокую емкость.,4.0,4.0,coordination,stimul,4,28,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,На старой фотографии стирается лицо и фон.,5.428571428571429,5.0,coordination,stimul,2,15,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,Крючок и кольцо сцепляется в серебряной застежке.,4.5,4.0,coordination,stimul,6,44,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,В мамином характере проявляются мягкость и строгость.,6.222222222222222,6.0,coordination,stimul,1,5,noun_noun,pl,and,VS,nonsymmetric,match
Pasko_2022,Подруги приносят варенье и чай в городскую больницу.,6.181818181818182,6.0,good,filler,501,521,,,,,,
Pasko_2022,Земля и небо сходятся на далеком горизонте.,5.833333333333333,6.0,coordination,stimul,22,170,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,На первом этапе производится стекло и рама.,4.2,4.0,coordination,stimul,24,191,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,Порядок и хаос умещается в классическом искусстве.,4.0,4.0,coordination,stimul,25,200,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,Правда и ложь скрывается в официальной версии.,4.857142857142857,5.0,coordination,stimul,5,40,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,Бумага и обложка рвется в дешевом блокноте.,4.0,4.0,coordination,stimul,17,136,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,В ходе обсуждения коллегах выражают сомнение и недоверие.,2.185185185185185,2.0,bad,filler,501,524,,,,,,
Pasko_2022,В новом курсе освещаются теория и практика.,5.444444444444445,5.0,coordination,stimul,7,53,noun_noun,pl,and,VS,nonsymmetric,match
Pasko_2022,Для бальному платья королева выбирает бархат и шелк.,1.981818181818182,2.0,bad,filler,501,508,,,,,,
Pasko_2022,Бабушка берет веер и бинокль на благотворительный концерт.,6.0,6.0,good,filler,501,501,,,,,,
Pasko_2022,Стекло и рама скрепляются на первом этапе.,5.25,5.0,coordination,stimul,24,186,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,В усадебном стиле смыкается новаторство и традиция.,4.142857142857143,4.0,coordination,stimul,18,139,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,В модной прическе сплетаются прядь и лента.,4.833333333333333,5.0,coordination,stimul,31,241,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,Лицо и фон сливается на старой фотографии.,5.555555555555555,6.0,coordination,stimul,2,12,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,В примитивном механизме перетирается провод и ремень.,4.666666666666667,5.0,coordination,stimul,29,231,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,Новаторство и традиция смыкается в усадебном стиле.,3.6666666666666665,4.0,coordination,stimul,18,140,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,В классическом искусстве сочетаются порядок и хаос.,6.0,6.0,coordination,stimul,25,193,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,Соль и сахар кладутся в глубокую емкость.,5.75,6.0,coordination,stimul,4,30,noun_noun,pl,and,SV,nonsymmetric,nonmatch
Pasko_2022,В великом романе сопрягается поэзия и проза.,5.0,5.0,coordination,stimul,13,99,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,Море и солнце описывается в известном стихотворении.,4.571428571428571,5.0,coordination,stimul,27,216,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,На старой даче соседи ремонтируют дом и сарай.,6.3090909090909095,6.0,good,filler,501,523,,,,,,
Pasko_2022,Соль и сахар ссыпаются в глубокую емкость.,5.0,5.0,coordination,stimul,4,26,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,В школьном дневнике первоклассник указывает день и месяц.,6.056603773584905,6.0,good,filler,501,507,,,,,,
Pasko_2022,В религиозных текстах противопоставляются смирение и тщеславие.,6.166666666666667,6.0,coordination,stimul,15,113,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,В примитивном механизме спутываются провод и ремень.,5.0,5.0,coordination,stimul,29,225,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,Город и деревня сближается в отдаленном регионе.,3.888888888888889,4.0,coordination,stimul,10,76,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,В новом курсе освещается теория и практика.,5.555555555555555,6.0,coordination,stimul,7,55,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,В религиозных текстах обсуждаются смирение и тщеславие.,6.1,6.0,coordination,stimul,15,117,noun_noun,pl,and,VS,nonsymmetric,match
Pasko_2022,В великом романе сопрягаются поэзия и проза.,5.555555555555555,6.0,coordination,stimul,13,97,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,Прошлое и настоящее заканчивается в этой точке.,4.0,4.0,coordination,stimul,9,72,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,В глубокую емкость ссыпается соль и сахар.,4.6,5.0,coordination,stimul,4,27,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,В оригинальном сценарии переплетаются долг и зло.,5.571428571428571,6.0,coordination,stimul,28,217,noun_noun,pl,and,VS,symmetric,nonmatch
Pasko_2022,В религиозных текстах обсуждается смирение и тщеславие.,6.375,6.0,coordination,stimul,15,119,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,Даша оставляет пальто и зонтик в главном гардеробе.,5.818181818181818,6.0,good,filler,501,505,,,,,,
Pasko_2022,В годовом отчете учитывается расход и прибыль.,4.4,4.0,coordination,stimul,16,127,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,Лицо и фон стираются на старой фотографии.,6.0,6.0,coordination,stimul,2,14,noun_noun,pl,and,SV,nonsymmetric,nonmatch
Pasko_2022,В последнем докладе анализируется карьера и образование.,5.6,6.0,coordination,stimul,8,63,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,Труд и досуг разделяются в ежедневном распорядке.,5.714285714285714,6.0,coordination,stimul,19,146,noun_noun,pl,and,SV,symmetric,match
Pasko_2022,Долг и зло отображается в оригинальном сценарии.,3.1,3.0,coordination,stimul,28,224,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,Теория и практика освещается в новом курсе.,4.8,5.0,coordination,stimul,7,56,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,Прядь и лента используется в модной прическе.,5.4,5.0,coordination,stimul,31,248,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,В новом курсе совмещается теория и практика.,6.0,6.0,coordination,stimul,7,51,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,В нашем дворе женщины обсуждают погоду и здоровье.,6.072727272727272,6.0,good,filler,501,530,,,,,,
Pasko_2022,Мягкость и строгость проявляются в мамином характере.,5.8,6.0,coordination,stimul,1,6,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,На нижнем рисунке пересекаются окружность и отрезок.,5.571428571428571,6.0,coordination,stimul,26,201,noun_noun,pl,and,VS,symmetric,nonmatch
Pasko_2022,На нижнем рисунке находятся окружность и отрезок.,5.8,6.0,coordination,stimul,26,205,noun_noun,pl,and,VS,nonsymmetric,nonmatch
Pasko_2022,Море и солнце объединяется в известном стихотворении.,4.4,4.0,coordination,stimul,27,212,noun_noun,sg,and,SV,symmetric,match
Pasko_2022,В оригинальном сценарии переплетается долг и зло.,4.8,5.0,coordination,stimul,28,219,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,В модной прическе сплетается прядь и лента.,4.5,4.0,coordination,stimul,31,243,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,Протез и кость разрушается в левом бедре.,2.888888888888889,3.0,coordination,stimul,30,240,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,Расход и прибыль учитываются в годовом отчете.,6.111111111111111,6.0,coordination,stimul,16,126,noun_noun,pl,and,SV,nonsymmetric,nonmatch
Pasko_2022,В дешевом блокноте рвутся бумага и обложка.,6.0,6.0,coordination,stimul,17,133,noun_noun,pl,and,VS,nonsymmetric,match
Pasko_2022,Крючок и кольцо ломаются в серебряной застежке.,5.0,5.0,coordination,stimul,6,46,noun_noun,pl,and,SV,nonsymmetric,nonmatch
Pasko_2022,На первом этапе производятся стекло и рама.,4.857142857142857,5.0,coordination,stimul,24,189,noun_noun,pl,and,VS,nonsymmetric,nonmatch
Pasko_2022,Смирение и тщеславие обсуждается в религиозных текстах.,5.2,5.0,coordination,stimul,15,120,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,Икс и игрек перемножается на следующем шаге.,4.4,4.0,coordination,stimul,11,84,noun_noun,sg,and,SV,symmetric,match
Pasko_2022,Город и деревня сближаются в отдаленном регионе.,4.4,4.0,coordination,stimul,10,74,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,Интеллигенция и пролетариат осуждается в современном мире.,4.8,5.0,coordination,stimul,12,96,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,В современном мире разобщается интеллигенция и пролетариат.,4.8,5.0,coordination,stimul,12,91,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,В причудливом узоре чередуются сердце и круг.,6.571428571428571,7.0,coordination,stimul,32,249,noun_noun,pl,and,VS,symmetric,nonmatch
Pasko_2022,Оригинал и подделка сравниваются на музейной экспертизе.,4.75,5.0,coordination,stimul,20,154,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,Вера и религия игнорируются в этой теории.,5.857142857142857,6.0,coordination,stimul,23,182,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,Честность и прямолинейность ценятся в человеческом общении.,6.0,6.0,coordination,stimul,3,22,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,В дешевом блокноте рвется бумага и обложка.,4.833333333333333,5.0,coordination,stimul,17,135,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,На нижнем рисунке пересекается окружность и отрезок.,5.0,5.0,coordination,stimul,26,203,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,В первом предложении сочиняются существительное и местоимение.,2.888888888888889,3.0,coordination,stimul,21,161,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,В человеческом общении различается честность и прямолинейность.,5.222222222222222,5.0,coordination,stimul,3,19,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,Студенты изучают морфологию и синтаксис на втором курсе.,6.37037037037037,6.0,good,filler,501,529,,,,,,
Pasko_2022,В усадебном стиле выделяются новаторство и традиция.,6.6,7.0,coordination,stimul,18,141,noun_noun,pl,and,VS,nonsymmetric,nonmatch
