sentence,response,author,group,sentence_id,lexicalization,conjunction_strategy,pron_person,subtype,type,response_round,condition
Сейчас он и Дима снимают скромную квартиру.,5.285714285714286,Manina_2022_1,C,108,12,conjunction,3rd person pronoun,coordination,stimul,5.0,"conjunction, 3rd person pronoun"
Сейчас он с Викой готовит маленький сюрприз.,4.636363636363637,Manina_2022_1,I,57,7,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Сейчас он с Димой снимает скромную квартиру.,5.3,Manina_2022_1,F,102,12,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Сейчас они с Викой готовят маленький сюрприз.,6.428571428571429,Manina_2022_1,C,60,7,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Сейчас они с Димой снимают скромную квартиру.,5.75,Manina_2022_1,I,105,12,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Сейчас ты и Вика готовите маленький сюрприз.,4.75,Manina_2022_1,E,62,7,conjunction,2nd person pronoun,coordination,stimul,5.0,"conjunction, 2nd person pronoun"
Сейчас ты и Дима снимаете скромную квартиру.,4.533333333333333,Manina_2022_1,B,107,12,conjunction,2nd person pronoun,coordination,stimul,5.0,"conjunction, 2nd person pronoun"
Сейчас ты с Викой готовишь маленький сюрприз.,4.9,Manina_2022_1,H,56,7,comitative,2nd person pronoun,coordination,stimul,5.0,"comitative, 2nd person pronoun"
Сейчас ты с Димой снимаешь скромную квартиру.,5.75,Manina_2022_1,E,101,12,comitative,2nd person pronoun,coordination,stimul,6.0,"comitative, 2nd person pronoun"
Сейчас я и Вика готовим маленький сюрприз.,6.666666666666667,Manina_2022_1,D,61,7,conjunction,1st person pronoun,coordination,stimul,7.0,"conjunction, 1st person pronoun"
Сейчас я и Дима снимаем скромную квартиру.,4.714285714285714,Manina_2022_1,A,106,12,conjunction,1st person pronoun,coordination,stimul,5.0,"conjunction, 1st person pronoun"
Сейчас я с Викой готовлю маленький сюрприз.,4.0,Manina_2022_1,G,55,7,comitative,1st person pronoun,coordination,stimul,4.0,"comitative, 1st person pronoun"
Сейчас я с Димой снимаю скромную квартиру.,5.833333333333333,Manina_2022_1,D,100,12,comitative,1st person pronoun,coordination,stimul,6.0,"comitative, 1st person pronoun"
Скоро вы с Серёжей получаете первую зарплату.,4.0,Manina_2022_1,D,149,17,inclusory comitative,2nd person pronoun,coordination,stimul,4.0,"inclusory comitative, 2nd person pronoun"
Скоро мы с Серёжей получаем первую зарплату.,5.571428571428571,Manina_2022_1,C,148,17,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Скоро он и Серёжа получают первую зарплату.,4.454545454545454,Manina_2022_1,H,153,17,conjunction,3rd person pronoun,coordination,stimul,4.0,"conjunction, 3rd person pronoun"
Скоро он с Серёжей получает первую зарплату.,2.333333333333333,Manina_2022_1,B,147,17,comitative,3rd person pronoun,coordination,stimul,2.0,"comitative, 3rd person pronoun"
Скоро они с Серёжей получают первую зарплату.,4.5,Manina_2022_1,E,150,17,inclusory comitative,3rd person pronoun,coordination,stimul,4.0,"inclusory comitative, 3rd person pronoun"
Скоро ты и Серёжа получаете первую зарплату.,3.375,Manina_2022_1,G,152,17,conjunction,2nd person pronoun,coordination,stimul,3.0,"conjunction, 2nd person pronoun"
Скоро ты с Серёжей получаешь первую зарплату.,3.4285714285714284,Manina_2022_1,A,146,17,comitative,2nd person pronoun,coordination,stimul,3.0,"comitative, 2nd person pronoun"
Скоро я и Серёжа получаем первую зарплату.,4.0,Manina_2022_1,F,151,17,conjunction,1st person pronoun,coordination,stimul,4.0,"conjunction, 1st person pronoun"
Скоро я с Серёжей получаю первую зарплату.,4.333333333333333,Manina_2022_1,I,145,17,comitative,1st person pronoun,coordination,stimul,4.0,"comitative, 1st person pronoun"
Теперь вы с Димой изучаете законы Ньютона.,5.571428571428571,Manina_2022_1,A,50,6,inclusory comitative,2nd person pronoun,coordination,stimul,6.0,"inclusory comitative, 2nd person pronoun"
Теперь вы с Юлей пишете детскую книжку.,5.5,Manina_2022_1,G,95,11,inclusory comitative,2nd person pronoun,coordination,stimul,6.0,"inclusory comitative, 2nd person pronoun"
Теперь мы с Димой изучаем законы Ньютона.,6.416666666666667,Manina_2022_1,I,49,6,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Теперь мы с Юлей пишем детскую книжку.,6.1,Manina_2022_1,F,94,11,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Теперь он и Дима изучают законы Ньютона.,5.0,Manina_2022_1,E,54,6,conjunction,3rd person pronoun,coordination,stimul,5.0,"conjunction, 3rd person pronoun"
Теперь он и Юля пишут детскую книжку.,4.533333333333333,Manina_2022_1,B,99,11,conjunction,3rd person pronoun,coordination,stimul,5.0,"conjunction, 3rd person pronoun"
Теперь он с Димой изучает законы Ньютона.,5.454545454545454,Manina_2022_1,H,48,6,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Теперь он с Юлей пишет детскую книжку.,5.125,Manina_2022_1,E,93,11,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Теперь они с Димой изучают законы Ньютона.,5.666666666666667,Manina_2022_1,B,51,6,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Теперь они с Юлей пишут детскую книжку.,6.181818181818182,Manina_2022_1,H,96,11,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Теперь ты и Дима изучаете законы Ньютона.,6.166666666666667,Manina_2022_1,D,53,6,conjunction,2nd person pronoun,coordination,stimul,6.0,"conjunction, 2nd person pronoun"
Теперь ты и Юля пишете детскую книжку.,3.7142857142857135,Manina_2022_1,A,98,11,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Теперь ты с Димой изучаешь законы Ньютона.,4.75,Manina_2022_1,G,47,6,comitative,2nd person pronoun,coordination,stimul,5.0,"comitative, 2nd person pronoun"
Теперь ты с Юлей пишешь детскую книжку.,5.5,Manina_2022_1,D,92,11,comitative,2nd person pronoun,coordination,stimul,6.0,"comitative, 2nd person pronoun"
Теперь я и Дима изучаем законы Ньютона.,5.571428571428571,Manina_2022_1,C,52,6,conjunction,1st person pronoun,coordination,stimul,6.0,"conjunction, 1st person pronoun"
Теперь я и Юля пишем детскую книжку.,5.5,Manina_2022_1,I,97,11,conjunction,1st person pronoun,coordination,stimul,6.0,"conjunction, 1st person pronoun"
Теперь я с Димой изучаю законы Ньютона.,5.3,Manina_2022_1,F,46,6,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Теперь я с Юлей пишу детскую книжку.,5.714285714285714,Manina_2022_1,C,91,11,comitative,1st person pronoun,coordination,stimul,6.0,"comitative, 1st person pronoun"
Утром вы с Даней решаете задачи менеджмента.,5.8,Manina_2022_1,F,167,19,inclusory comitative,2nd person pronoun,coordination,stimul,6.0,"inclusory comitative, 2nd person pronoun"
Утром вы с Сашей обсуждаете планы занятий.,5.428571428571429,Manina_2022_1,E,77,9,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Утром мы с Даней решаем задачи менеджмента.,5.125,Manina_2022_1,E,166,19,inclusory comitative,1st person pronoun,coordination,stimul,5.0,"inclusory comitative, 1st person pronoun"
Утром мы с Сашей обсуждаем планы занятий.,6.666666666666667,Manina_2022_1,D,76,9,inclusory comitative,1st person pronoun,coordination,stimul,7.0,"inclusory comitative, 1st person pronoun"
Утром он и Даня решают задачи менеджмента.,4.333333333333333,Manina_2022_1,A,171,19,conjunction,3rd person pronoun,coordination,stimul,4.0,"conjunction, 3rd person pronoun"
Утром он и Саша обсуждают планы занятий.,5.0,Manina_2022_1,I,81,9,conjunction,3rd person pronoun,coordination,stimul,5.0,"conjunction, 3rd person pronoun"
Утром он с Даней решает задачи менеджмента.,6.0,Manina_2022_1,D,165,19,comitative,3rd person pronoun,coordination,stimul,6.0,"comitative, 3rd person pronoun"
Утром он с Сашей обсуждают планы занятий.,4.0,Manina_2022_1,C,75,9,comitative,3rd person pronoun,coordination,stimul,4.0,"comitative, 3rd person pronoun"
Утром они с Даней решают задачи менеджмента.,6.0,Manina_2022_1,G,168,19,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Утром они с Сашей обсуждают планы занятий.,6.0,Manina_2022_1,F,78,9,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Утром ты и Даня решаете задачи менеджмента.,4.181818181818182,Manina_2022_1,I,170,19,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Утром ты и Саша обсуждаете планы занятий.,4.7,Manina_2022_1,H,80,9,conjunction,2nd person pronoun,coordination,stimul,5.0,"conjunction, 2nd person pronoun"
Утром ты с Даней решаешь задачи менеджмента.,4.857142857142857,Manina_2022_1,C,164,19,comitative,2nd person pronoun,coordination,stimul,5.0,"comitative, 2nd person pronoun"
Утром ты с Сашей обсуждаете планы занятий.,3.333333333333333,Manina_2022_1,B,74,9,comitative,2nd person pronoun,coordination,stimul,3.0,"comitative, 2nd person pronoun"
Утром я и Даня решаем задачи менеджмента.,5.545454545454546,Manina_2022_1,H,169,19,conjunction,1st person pronoun,coordination,stimul,6.0,"conjunction, 1st person pronoun"
Утром я и Саша обсуждаем планы занятий.,3.625,Manina_2022_1,G,79,9,conjunction,1st person pronoun,coordination,stimul,4.0,"conjunction, 1st person pronoun"
Утром я с Даней решаю задачи менеджмента.,5.333333333333333,Manina_2022_1,B,163,19,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Утром я с Сашей обсуждаю планы занятий.,5.428571428571429,Manina_2022_1,A,73,9,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Часто вы с Ваней нарушаете приказы начальства.,5.857142857142857,Manina_2022_1,C,140,16,inclusory comitative,2nd person pronoun,coordination,stimul,6.0,"inclusory comitative, 2nd person pronoun"
Часто вы с Катей танцуете финское танго.,4.0,Manina_2022_1,F,14,2,inclusory comitative,2nd person pronoun,coordination,stimul,4.0,"inclusory comitative, 2nd person pronoun"
Часто вы с Леной посещаете Дворец Творчества.,5.0,Manina_2022_1,B,221,25,inclusory comitative,2nd person pronoun,coordination,stimul,5.0,"inclusory comitative, 2nd person pronoun"
Часто мы с Ваней нарушаем приказы начальства.,5.642857142857143,Manina_2022_1,B,139,16,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Часто мы с Катей танцуем финское танго.,6.0,Manina_2022_1,E,13,2,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Часто мы с Леной посещаем Дворец Творчества.,5.714285714285714,Manina_2022_1,A,220,25,inclusory comitative,1st person pronoun,coordination,stimul,6.0,"inclusory comitative, 1st person pronoun"
Часто он и Ваня нарушают приказы начальства.,5.125,Manina_2022_1,G,144,16,conjunction,3rd person pronoun,coordination,stimul,5.0,"conjunction, 3rd person pronoun"
Часто он и Катя танцуют финское танго.,5.142857142857143,Manina_2022_1,A,18,2,conjunction,3rd person pronoun,coordination,stimul,5.0,"conjunction, 3rd person pronoun"
Часто он и Лена посещают Дворец Творчества.,4.5,Manina_2022_1,F,225,25,conjunction,3rd person pronoun,coordination,stimul,4.0,"conjunction, 3rd person pronoun"
Часто он с Ваней нарушает приказы начальства.,4.714285714285714,Manina_2022_1,A,138,16,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Часто он с Катей танцует финское танго.,6.0,Manina_2022_1,D,12,2,comitative,3rd person pronoun,coordination,stimul,6.0,"comitative, 3rd person pronoun"
Часто он с Леной посещает Дворец Творчества.,5.25,Manina_2022_1,I,219,25,comitative,3rd person pronoun,coordination,stimul,5.0,"comitative, 3rd person pronoun"
Часто они с Ваней нарушают приказы начальства.,6.333333333333333,Manina_2022_1,D,141,16,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Часто они с Катей танцуют финское танго.,6.375,Manina_2022_1,G,15,2,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Часто они с Леной посещают Дворец Творчества.,6.428571428571429,Manina_2022_1,C,222,25,inclusory comitative,3rd person pronoun,coordination,stimul,6.0,"inclusory comitative, 3rd person pronoun"
Часто ты и Ваня нарушаете приказы начальства.,3.6666666666666665,Manina_2022_1,F,143,16,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Часто ты и Катя танцуете финское танго.,4.545454545454546,Manina_2022_1,I,17,2,conjunction,2nd person pronoun,coordination,stimul,5.0,"conjunction, 2nd person pronoun"
Часто ты и Лена посещаете Дворец Творчества.,3.625,Manina_2022_1,E,224,25,conjunction,2nd person pronoun,coordination,stimul,4.0,"conjunction, 2nd person pronoun"
Часто ты с Ваней нарушаешь приказы начальства.,4.416666666666667,Manina_2022_1,I,137,16,comitative,2nd person pronoun,coordination,stimul,4.0,"comitative, 2nd person pronoun"
Часто ты с Катей танцуешь финское танго.,4.714285714285714,Manina_2022_1,C,11,2,comitative,2nd person pronoun,coordination,stimul,5.0,"comitative, 2nd person pronoun"
Часто ты с Леной посещаешь Дворец Творчества.,6.0,Manina_2022_1,H,218,25,comitative,2nd person pronoun,coordination,stimul,6.0,"comitative, 2nd person pronoun"
Часто я и Ваня нарушаем приказы начальства.,6.142857142857143,Manina_2022_1,E,142,16,conjunction,1st person pronoun,coordination,stimul,6.0,"conjunction, 1st person pronoun"
Часто я и Катя танцуем финское танго.,5.181818181818182,Manina_2022_1,H,16,2,conjunction,1st person pronoun,coordination,stimul,5.0,"conjunction, 1st person pronoun"
Часто я и Лена посещаем Дворец Творчества.,5.833333333333333,Manina_2022_1,D,223,25,conjunction,1st person pronoun,coordination,stimul,6.0,"conjunction, 1st person pronoun"
Часто я с Ваней нарушаю приказы начальства.,5.454545454545454,Manina_2022_1,H,136,16,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Часто я с Катей танцую финское танго.,5.6,Manina_2022_1,B,10,2,comitative,1st person pronoun,coordination,stimul,6.0,"comitative, 1st person pronoun"
Часто я с Леной посещаю Дворец Творчества.,5.125,Manina_2022_1,G,217,25,comitative,1st person pronoun,coordination,stimul,5.0,"comitative, 1st person pronoun"
Весной Лада и Олег убирает кабинет отца.,2.463414634146341,Manina_2022_1,F,271,28,,,bad,filler,2.0,bad
Весной вы с ним продаёте акции Сбербанка.,4.481481481481482,Manina_2022_1,F,255,28,,,good,filler,4.0,good
Весной мы с Иосифу составляем рацион питания.,1.8072289156626504,Manina_2022_1,F,281,28,,,bad,filler,2.0,bad
Весной мы с ним устраиваем большую вечеринку.,5.512195121951219,Manina_2022_1,F,262,28,,,good,filler,6.0,good
Вечером Алла и Гоша зажигаем ароматические свечи.,1.987951807228916,Manina_2022_1,F,273,28,,,bad,filler,2.0,bad
Вечером Глеб и Ксюша включает старые пластинки.,2.8313253012048194,Manina_2022_1,F,265,28,,,bad,filler,3.0,bad
Вечером Тася и Кирилл анализируют биржевые котировки.,5.975609756097561,Manina_2022_1,F,253,28,,,good,filler,6.0,good
Завтра вы с ней снимаете рекламный ролик.,5.158536585365853,Manina_2022_1,F,258,28,,,good,filler,5.0,good
Завтра они с Карина оценивают доклады участников.,1.6666666666666667,Manina_2022_1,F,283,28,,,bad,filler,2.0,bad
Зимой Лёва и Арина вырезают бумажные снежинки.,6.308641975308642,Manina_2022_1,F,251,28,,,good,filler,6.0,good
Зимой Маша и Роберт вешаем яркую мишуру.,1.819277108433735,Manina_2022_1,F,270,28,,,bad,filler,2.0,bad
Зимой вы с Диане кормите городских птиц.,1.4285714285714286,Manina_2022_1,F,282,28,,,bad,filler,1.0,bad
Летом Люда и Валя устраивают домашний спа-салон.,5.950617283950617,Manina_2022_1,F,250,28,,,good,filler,6.0,good
Летом вы с Даша посещаете ночные кинопоказы.,1.9397590361445785,Manina_2022_1,F,276,28,,,bad,filler,2.0,bad
Летом вы с ним чините автомобиль папы.,4.857142857142857,Manina_2022_1,F,261,28,,,good,filler,5.0,good
Обычно Рома и Матвей чистите снежные завалы.,1.75,Manina_2022_1,F,268,28,,,bad,filler,2.0,bad
Обычно Таня и Артём проверяют работы школьников.,6.289156626506024,Manina_2022_1,F,247,28,,,good,filler,6.0,good
Обычно мы с Петю переводим диалоги дипломатов.,1.511904761904762,Manina_2022_1,F,278,28,,,bad,filler,2.0,bad
Обычно мы с ним замечаем ошибки руководства.,5.867469879518072,Manina_2022_1,F,254,28,,,good,filler,6.0,good
Осенью Лёша и Андрей сушишь целебные травы.,1.6666666666666667,Manina_2022_1,F,264,28,,,bad,filler,2.0,bad
Осенью Миша и Коля собирают листья рябины.,6.240963855421687,Manina_2022_1,F,249,28,,,good,filler,6.0,good
Осенью они с Жанны начинают сбор макулатуры.,1.6666666666666667,Manina_2022_1,F,277,28,,,bad,filler,2.0,bad
Сегодня Лёня и Марта печатают раздаточный материал.,5.814814814814815,Manina_2022_1,F,246,28,,,good,filler,6.0,good
Сегодня мы с вами тестируем эффективность рекламы.,6.309523809523809,Manina_2022_1,F,256,28,,,good,filler,6.0,good
Сегодня они с Юля презентуют очередной проект.,2.6904761904761907,Manina_2022_1,F,274,28,,,bad,filler,3.0,bad
Сейчас Кеша и Ксюша сочиняете неплохие стихи.,1.987951807228916,Manina_2022_1,F,267,28,,,bad,filler,2.0,bad
Сейчас Митя и Слава изобретают разные лекарства.,5.72289156626506,Manina_2022_1,F,252,28,,,good,filler,6.0,good
Сейчас они с Оксана исследуют проблемы экономики.,1.5595238095238095,Manina_2022_1,F,280,28,,,bad,filler,2.0,bad
Скоро Вася и Алина получают туристическую визу.,4.333333333333333,Manina_2022_1,F,244,28,,,good,filler,4.0,good
Скоро Толя и Витя ставим балет Стравинского.,1.7023809523809523,Manina_2022_1,F,266,28,,,bad,filler,2.0,bad
Скоро мы с Галю подаём патентную заявку.,1.7738095238095235,Manina_2022_1,F,275,28,,,bad,filler,2.0,bad
Скоро мы с тобой увольняем половину работников.,3.903614457831325,Manina_2022_1,F,257,28,,,good,filler,4.0,good
Теперь Гера и Даша понимают линейную алгебру.,6.113924050632911,Manina_2022_1,F,245,28,,,good,filler,6.0,good
Теперь Даня и Алиса повторяют формулы Виета.,5.964285714285714,Manina_2022_1,F,272,28,,,bad,filler,6.0,bad
Теперь Лера и Ника благодарят родителям.,2.1785714285714284,Manina_2022_1,F,284,28,,,bad,filler,2.0,bad
Теперь вы с Полине доказываете теорему Гёделя.,1.5833333333333333,Manina_2022_1,F,279,28,,,bad,filler,2.0,bad
Теперь вы с ними пишете сценарий праздника.,5.125,Manina_2022_1,F,259,28,,,good,filler,5.0,good
Утром Надя и Игорь бегаешь километровый кросс.,1.6746987951807228,Manina_2022_1,F,269,28,,,bad,filler,2.0,bad
Утром Поля и Света репетируют полонез Огинского.,5.975903614457831,Manina_2022_1,F,248,28,,,good,filler,6.0,good
Часто вы с ним считаете калорийность блюд.,5.0,Manina_2022_1,F,263,28,,,good,filler,5.0,good
Часто мы с ней смотрим семейные фотографии.,5.892857142857143,Manina_2022_1,F,260,28,,,good,filler,6.0,good
