level_0,index,author,sentence,response,group,sentence_id,lexicalization,conj_order,verb_agreement,filler_type,type,response_round,condition
260,189,Belova_2022_2,Я и ты готовишь перекус из овощей.,3.466666666666667,F,243,31.0,I_you,2sg,,stimul,3.0,"I_you, 2sg"
201,234,Belova_2022_2,Я и ты пишут заявление на увольнение.,2.5,A,116,15.0,I_you,3pl,,stimul,2.0,"I_you, 3pl"
161,100,Belova_2022_2,Ты и я передаёшь подарок для подруги.,2.0,H,15,2.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
43,132,Belova_2022_2,Ты и я сдаёшь коробки в макулатуру.,2.5454545454545454,G,151,19.0,you_I,2sg,,stimul,3.0,"you_I, 2sg"
145,222,Belova_2022_2,Я и ты отдаёшь книги в библиотеку.,1.7692307692307692,C,139,18.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
190,244,Belova_2022_2,Я и ты подбираешь галстук под пиджак.,2.727272727272727,G,179,23.0,I_you,2sg,,stimul,3.0,"I_you, 2sg"
219,53,Belova_2022_2,Ты и я выкупаю цепочку у ломбарда.,1.5,E,62,8.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
3,209,Belova_2022_2,Я и ты копаю грядку под редис.,2.8181818181818183,G,186,24.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
105,165,Belova_2022_2,Я и ты варю гречку на костре.,2.2,E,98,13.0,I_you,1sg,,stimul,2.0,"I_you, 1sg"
133,183,Belova_2022_2,Я и ты вырезаем снежинки из бумаги.,4.8,E,249,32.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
1,249,Belova_2022_2,Я и ты покупаю телевизор для бабушки.,2.75,B,2,1.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
245,131,Belova_2022_2,Ты и я сдаём коробки в макулатуру.,5.2,E,149,19.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
103,251,Belova_2022_2,Я и ты проводим вечер у соседей.,4.333333333333333,F,41,6.0,I_you,1pl,,stimul,4.0,"I_you, 1pl"
49,203,Belova_2022_2,Я и ты ищем ключи от квартиры.,5.230769230769231,C,89,12.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
163,223,Belova_2022_2,Я и ты отмываем духовку от жира.,5.142857142857143,A,73,10.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
205,199,Belova_2022_2,Я и ты закрываем долги за семестр.,5.428571428571429,A,209,27.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
34,79,Belova_2022_2,Ты и я копаешь грядку под редис.,2.357142857142857,D,191,24.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
259,174,Belova_2022_2,Я и ты вношу аванс за квартиру.,2.4166666666666665,H,194,25.0,I_you,1sg,,stimul,2.0,"I_you, 1sg"
7,170,Belova_2022_2,Я и ты вкладывают деньги в акции.,4.111111111111111,E,156,20.0,I_you,3pl,,stimul,4.0,"I_you, 3pl"
261,187,Belova_2022_2,Я и ты готовим перекус из овощей.,5.642857142857143,D,241,31.0,I_you,1pl,,stimul,6.0,"I_you, 1pl"
110,69,Belova_2022_2,Ты и я забирают машину из сервиса.,2.142857142857143,A,232,29.0,you_I,3pl,,stimul,2.0,"you_I, 3pl"
91,231,Belova_2022_2,Я и ты пишем заявление на увольнение.,4.866666666666666,F,113,15.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
83,84,Belova_2022_2,Ты и я намечаю переезд за границу.,1.7,E,206,26.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
129,236,Belova_2022_2,Я и ты планируешь поездку на дачу.,2.0,A,123,16.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
52,92,Belova_2022_2,Ты и я отдаёшь книги в библиотеку.,2.090909090909091,G,143,18.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
89,221,Belova_2022_2,Я и ты отдаём книги в библиотеку.,4.357142857142857,A,137,18.0,I_you,1pl,,stimul,4.0,"I_you, 1pl"
8,42,Belova_2022_2,Ты и я вкладывают деньги в акции.,2.5,A,160,20.0,you_I,3pl,,stimul,2.0,"you_I, 3pl"
241,241,Belova_2022_2,Я и ты платят штрафы за парковку.,3.0,D,220,28.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
13,168,Belova_2022_2,Я и ты вкладываешь деньги в акции.,2.7142857142857144,D,155,20.0,I_you,2sg,,stimul,3.0,"I_you, 2sg"
59,86,Belova_2022_2,Ты и я отвожу диван в гараж.,1.5,E,134,17.0,you_I,1sg,,stimul,2.0,"you_I, 1sg"
88,112,Belova_2022_2,Ты и я плачу штрафы за парковку.,3.1333333333333333,F,222,28.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
131,107,Belova_2022_2,Ты и я планирую поездку на дачу.,2.571428571428572,D,126,16.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
17,140,Belova_2022_2,Ты и я строят крепость из снега.,2.5384615384615383,B,240,30.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
166,61,Belova_2022_2,Ты и я готовишь реквизит для спектакля.,1.8571428571428568,A,23,3.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
134,220,Belova_2022_2,Я и ты отдают книги в библиотеку.,2.7142857142857144,D,140,18.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
258,50,Belova_2022_2,Ты и я встречают рассвет у озера.,3.466666666666667,F,56,7.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
228,34,Belova_2022_2,Ты и я берёшь билет на самолёт.,1.6153846153846154,C,111,14.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
272,130,Belova_2022_2,Ты и я сдают коробки в макулатуру.,3.1666666666666665,H,152,19.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
248,72,Belova_2022_2,Ты и я закрываю долги за семестр.,3.2666666666666666,F,214,27.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
243,59,Belova_2022_2,Ты и я готовим реквизит для спектакля.,5.2,G,21,3.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
54,126,Belova_2022_2,Ты и я ровняешь стены под покраску.,3.0,A,167,21.0,you_I,2sg,,stimul,3.0,"you_I, 2sg"
50,262,Belova_2022_2,Я и ты сдаёшь коробки в макулатуру.,1.8461538461538465,C,147,19.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
189,70,Belova_2022_2,Ты и я закрываем долги за семестр.,5.2,E,213,27.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
187,275,Belova_2022_2,Я и ты чистим сапоги от грязи.,5.285714285714286,A,65,9.0,I_you,1pl,,stimul,5.0,"I_you, 1pl"
169,178,Belova_2022_2,Я и ты встречают рассвет у озера.,2.923076923076923,B,52,7.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
48,90,Belova_2022_2,Ты и я отдаю книги в библиотеку.,3.037037037037037,H,144,18.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
235,91,Belova_2022_2,Ты и я отдаём книги в библиотеку.,4.0,E,141,18.0,you_I,1pl,,stimul,4.0,"you_I, 1pl"
252,228,Belova_2022_2,Я и ты передают подарок для подруги.,2.4,E,12,2.0,I_you,3pl,,stimul,2.0,"I_you, 3pl"
21,60,Belova_2022_2,Ты и я готовишь перекус из овощей.,2.769230769230769,B,247,31.0,you_I,2sg,,stimul,3.0,"you_I, 2sg"
160,253,Belova_2022_2,Я и ты проводят вечер у соседей.,2.0,A,44,6.0,I_you,3pl,,stimul,2.0,"I_you, 3pl"
191,64,Belova_2022_2,Ты и я готовят перекус из овощей.,3.3846153846153846,C,248,31.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
257,54,Belova_2022_2,Ты и я выкупают цепочку у ломбарда.,2.5454545454545454,G,64,8.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
149,184,Belova_2022_2,Я и ты вырезаешь снежинки из бумаги.,2.272727272727273,G,251,32.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
130,213,Belova_2022_2,Я и ты намечаю переезд за границу.,2.571428571428572,A,202,26.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
151,41,Belova_2022_2,Ты и я вкладываю деньги в акции.,2.5454545454545454,G,158,20.0,you_I,1sg,,stimul,3.0,"you_I, 1sg"
99,263,Belova_2022_2,Я и ты снимаем комнату у метро.,3.9,E,33,5.0,I_you,1pl,,stimul,4.0,"I_you, 1pl"
87,55,Belova_2022_2,Ты и я вырезаем снежинки из бумаги.,4.571428571428571,A,253,32.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
214,145,Belova_2022_2,Ты и я чистим сапоги от грязи.,4.2,E,69,9.0,you_I,1pl,,stimul,4.0,"you_I, 1pl"
121,194,Belova_2022_2,Я и ты готовят реквизит для спектакля.,3.2,F,20,3.0,I_you,3pl,,stimul,3.0,"I_you, 3pl"
284,102,Belova_2022_2,Ты и я пишешь заявление на увольнение.,2.4285714285714284,D,119,15.0,you_I,2sg,,stimul,2.0,"you_I, 2sg"
20,109,Belova_2022_2,Ты и я платим штрафы за парковку.,4.8,E,221,28.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
188,240,Belova_2022_2,Я и ты платишь штрафы за парковку.,2.3846153846153846,C,219,28.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
71,113,Belova_2022_2,Ты и я подбираем галстук под пиджак.,4.714285714285714,A,181,23.0,you_I,1pl,,stimul,5.0,"you_I, 1pl"
106,116,Belova_2022_2,Ты и я подбирают галстук под пиджак.,3.0,D,184,23.0,you_I,3pl,,stimul,3.0,"you_I, 3pl"
270,257,Belova_2022_2,Я и ты ровняю стены под покраску.,3.142857142857143,D,162,21.0,I_you,1sg,,stimul,3.0,"I_you, 1sg"
102,268,Belova_2022_2,Я и ты строишь крепость из снега.,2.0,E,235,30.0,I_you,2sg,,stimul,2.0,"I_you, 2sg"
42,24,Belova_2022_2,Сергей напечатала сборник рассказы и рецензия.,1.7623762376237624,Fil,287,,,,bad,filler,2.0,bad
267,21,Belova_2022_2,Петя и Женя нашли в подъезде котёнка.,6.627450980392157,Fil,263,,,,good,filler,7.0,good
217,3,Belova_2022_2,Вася и Петя на каникулах съездили на море.,6.247524752475248,Fil,257,,,,good,filler,6.0,good
230,7,Belova_2022_2,Журналист записала интервью и репортажа.,2.450980392156863,Fil,284,,,,bad,filler,2.0,bad
66,15,Belova_2022_2,Лиза помыла лапы кошкой и собаками.,1.7745098039215683,Fil,288,,,,bad,filler,2.0,bad
246,17,Belova_2022_2,Маша и Дима в четверг прогуляли все уроки.,6.480392156862745,Fil,258,,,,good,filler,6.0,good
67,10,Belova_2022_2,Кира и Галя отправила свои стихи в районной газеты.,2.0980392156862746,Fil,279,,,,bad,filler,2.0,bad
18,154,Belova_2022_2,Школа провели родительский собрание и экзамены.,1.8137254901960784,Fil,282,,,,bad,filler,2.0,bad
112,2,Belova_2022_2,Бабушка сделала прически мне и Любе.,5.941176470588236,Fil,266,,,,good,filler,6.0,good
221,1,Belova_2022_2,Аркадий заехал в магазину и на работой.,1.6764705882352942,Fil,285,,,,bad,filler,2.0,bad
155,26,Belova_2022_2,Стас и Лёша смастерила кормушкой для птиц.,1.7058823529411764,Fil,273,,,,bad,filler,2.0,bad
159,0,Belova_2022_2,Аня и Петя досмотрел хороший сериал про пираты.,1.9705882352941173,Fil,278,,,,bad,filler,2.0,bad
41,22,Belova_2022_2,Рита и Марина только что сварили кофе в турке.,6.323529411764706,Fil,264,,,,good,filler,6.0,good
278,284,Belova_2022_2,Яна пересадила в горшки астрами и фиалки.,2.5392156862745097,Fil,272,,,,good,filler,3.0,good
141,12,Belova_2022_2,Композитор сочинил симфонией и оперой.,1.8725490196078431,Fil,286,,,,bad,filler,2.0,bad
176,4,Belova_2022_2,Вера и Даня отпраздновали свою годовщину в ресторане.,6.53921568627451,Fil,261,,,,good,filler,7.0,good
0,9,Belova_2022_2,Катя и Федя на ужин запекли картошку в духовке.,6.392156862745098,Fil,259,,,,good,filler,6.0,good
240,8,Belova_2022_2,Игорь и Таня подрался из-за игровую приставку.,2.107843137254902,Fil,275,,,,bad,filler,2.0,bad
70,16,Belova_2022_2,Марина предложила гостям кофе и шарлотку.,6.323529411764706,Fil,269,,,,good,filler,6.0,good
206,14,Belova_2022_2,Лера и Артём не подобрала шторы к диваном.,1.7058823529411764,Fil,277,,,,bad,filler,2.0,bad
199,23,Belova_2022_2,Саша подарил по букету маме и сестре.,6.254901960784314,Fil,265,,,,good,filler,6.0,good
14,5,Belova_2022_2,Даня и Настя случайно разбили новый аквариум.,6.519607843137255,Fil,260,,,,good,filler,7.0,good
242,13,Belova_2022_2,Костя и Денис на рыбалке поймали щуку.,6.490196078431373,Fil,262,,,,good,filler,6.0,good
53,6,Belova_2022_2,Егор сделал домашнее задание за Улю и Яну.,6.088235294117647,Fil,267,,,,good,filler,6.0,good
80,18,Belova_2022_2,Наташа сводила детей в цирк и в зоопарк.,6.362745098039215,Fil,270,,,,good,filler,6.0,good
171,11,Belova_2022_2,Команда проиграла матча и турнира.,1.6862745098039216,Fil,283,,,,bad,filler,2.0,bad
198,153,Belova_2022_2,Филипп и Никита упаковала подарки для учительница.,1.6862745098039216,Fil,280,,,,bad,filler,2.0,bad
72,283,Belova_2022_2,Я погладила рубашки Жене и Захару.,6.019607843137255,Fil,268,,,,good,filler,6.0,good
279,20,Belova_2022_2,Первокурсники и второкурсники пришла на конференцией.,1.8235294117647056,Fil,276,,,,bad,filler,2.0,bad
63,19,Belova_2022_2,Оля покаталась на колесе обозрения и на карусели.,6.0,Fil,271,,,,good,filler,6.0,good
174,27,Belova_2022_2,Тромбоны и гобои настроилась перед балет.,1.7647058823529411,Fil,274,,,,bad,filler,2.0,bad
58,25,Belova_2022_2,Солистка исполнили на концерте новые и старую песня.,1.7821782178217822,Fil,281,,,,bad,filler,2.0,bad
